type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2021-07-01T00:39:30,2021-07-01T07:49,429,30.114452214452218,-297.09933919461946,798.1833504658425,0.5587886051305445,1.2663356217091504
IDT,2021-07-01T23:02,2021-07-02T08:08,546,30.92087912087912,32.78887098388441,573.8910440666368,0.5583959348929626,1.2742884822445453
IDT,2021-07-03T01:20,2021-07-03T09:14,474,29.93354430379747,-414.0139551940556,874.5759601168102,0.5773992391023882,1.282314477590729
IDT,2021-07-04T00:39:30,2021-07-04T08:51:30,492,29.455691056910567,-664.8398015938292,1153.0523613481782,0.6264810959926491,1.304346388388651
IDT,2021-07-05T00:45:30,2021-07-05T08:49,483,30.51904761904762,-132.3226099593776,457.7158449408598,0.5896360658466804,1.2419543989505022
IDT,2021-07-06T01:03,2021-07-06T08:43:30,461,30.145986984815618,-298.2764455305878,636.456047632033,0.5920811515290318,1.238541476312345
IDT,2021-07-07T00:17,2021-07-07T07:23:30,425,30.608,-38.03398760330674,294.0365275599761,0.589932867706349,1.2297740914003095
IDT,2021-07-08T01:02:30,2021-07-08T07:15:30,373,29.707506702412868,-321.24063221884717,421.28263750241604,0.6144031142572779,1.21645210746149
IDT,2021-07-09T01:05:30,2021-07-09T07:52:30,407,30.947174447174447,138.04399999999987,438.915248000063,0.6068007421391239,1.2124534803697136
IDT,2021-07-10T00:22,2021-07-10T09:04,522,30.72509578544061,61.123999999999796,1203.578608000069,0.5652375649153756,1.181008432619038
IDT,2021-07-11T00:49,2021-07-11T07:32:30,399,27.974686716791982,-1050.692000000001,4265.635536000016,0.7434002993947102,1.2921681168823904
IDT,2021-07-12T03:48,2021-07-12T08:57:30,310,30.47,-18.439817629179743,152.52786088443827,0.733671004764664,1.2857543307789034
IDT,2021-07-13T01:12:30,2021-07-13T08:49,456,29.99824561403509,-237.48571428571267,372.8016326529905,0.7194946833561613,1.2460429531815433
IDT,2021-07-13T23:46:30,2021-07-14T08:56,549,29.844808743169402,-366.33349268841266,693.7825644175755,0.7147929065709872,1.2363330811796105
IDT,2021-07-15T00:35,2021-07-15T08:50:30,496,29.805040322580645,-338.5292913385838,522.049982044613,0.7190641036051031,1.2268532030278152
IDT,2021-07-16T00:02,2021-07-16T08:20,498,29.748795180722894,-336.5343307086623,1360.7646701718913,0.6968348251344229,1.2205654364679515
IDT,2021-07-17T02:38,2021-07-17T10:17,459,29.862745098039216,-225.37488094989567,742.6548953446327,0.6880621653362349,1.2214379250753136
IDT,2021-07-18T01:01:30,2021-07-18T09:36:30,515,30.803106796116506,231.41467605839716,636.5409559130203,0.64607600382238,1.2049522222153948
