recorded_time,temperature,sensor_type
2021-05-23T00:00,-1.2850797071152158,UNKNOWN
2021-05-23T00:01,-1.2850797071152158,UNKNOWN
2021-05-23T00:02,-1.3850797071152137,UNKNOWN
2021-05-23T00:03,-1.3850797071152137,UNKNOWN
2021-05-23T00:04,-1.485079707115215,UNKNOWN
2021-05-23T00:05,-1.3850797071152137,UNKNOWN
2021-05-23T00:06,-1.485079707115215,UNKNOWN
2021-05-23T00:07,-1.3850797071152137,UNKNOWN
2021-05-23T00:08,-1.2850797071152158,UNKNOWN
2021-05-23T00:09,-1.2850797071152158,UNKNOWN
2021-05-23T00:10,-1.085079707115213,UNKNOWN
2021-05-23T00:11,-0.8850797071152137,UNKNOWN
2021-05-23T00:12,-0.9850797071152151,UNKNOWN
2021-05-23T00:13,-1.1850797071152144,UNKNOWN
2021-05-23T00:14,-1.085079707115213,UNKNOWN
2021-05-23T00:15,-0.8850797071152137,UNKNOWN
2021-05-23T00:16,-0.6850797071152144,UNKNOWN
2021-05-23T00:17,-0.585079707115213,UNKNOWN
2021-05-23T00:18,-0.7850797071152158,UNKNOWN
2021-05-23T00:19,-0.4850797071152151,UNKNOWN
2021-05-23T00:20,-0.7850797071152158,UNKNOWN
2021-05-23T00:21,-0.9850797071152151,UNKNOWN
2021-05-23T00:22,-1.2850797071152158,UNKNOWN
2021-05-23T00:23,-1.485079707115215,UNKNOWN
2021-05-23T00:24,-1.6850797071152144,UNKNOWN
2021-05-23T00:25,-2.285079707115216,UNKNOWN
2021-05-23T00:26,-2.085079707115213,UNKNOWN
2021-05-23T00:27,-2.085079707115213,UNKNOWN
2021-05-23T00:28,-1.8850797071152137,UNKNOWN
2021-05-23T00:29,-1.3850797071152137,UNKNOWN
2021-05-23T00:30,-0.7850797071152158,UNKNOWN
2021-05-23T00:31,-0.4850797071152151,UNKNOWN
2021-05-23T00:32,-0.2850797071152158,UNKNOWN
2021-05-23T00:33,0.014920292884784914,UNKNOWN
2021-05-23T00:34,0.2149202928847842,UNKNOWN
2021-05-23T00:35,0.41492029288478705,UNKNOWN
2021-05-23T00:36,0.5149202928847849,UNKNOWN
2021-05-23T00:37,0.7149202928847842,UNKNOWN
2021-05-23T00:38,0.914920292884787,UNKNOWN
2021-05-23T00:39,1.1149202928847863,UNKNOWN
2021-05-23T00:40,1.2149202928847842,UNKNOWN
2021-05-23T00:41,1.3149202928847856,UNKNOWN
2021-05-23T00:42,1.414920292884787,UNKNOWN
2021-05-23T00:43,1.514920292884785,UNKNOWN
2021-05-23T00:44,1.6149202928847863,UNKNOWN
2021-05-23T00:45,1.8149202928847856,UNKNOWN
2021-05-23T00:46,1.914920292884787,UNKNOWN
2021-05-23T00:47,2.014920292884785,UNKNOWN
2021-05-23T00:48,2.1149202928847863,UNKNOWN
2021-05-23T00:49,2.1149202928847863,UNKNOWN
2021-05-23T00:50,1.8149202928847856,UNKNOWN
2021-05-23T00:51,1.8149202928847856,UNKNOWN
2021-05-23T00:52,1.8149202928847856,UNKNOWN
2021-05-23T00:53,2.014920292884785,UNKNOWN
2021-05-23T00:54,2.1149202928847863,UNKNOWN
2021-05-23T00:55,2.214920292884784,UNKNOWN
2021-05-23T00:56,2.3149202928847856,UNKNOWN
2021-05-23T00:57,2.5149202928847885,UNKNOWN
2021-05-23T00:58,2.614920292884783,UNKNOWN
