sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
32379498610,2021-05-31T06:24:30Z,58,18,10,30,47,59,0.138996138996139
32371520963,2021-05-30T08:40:30Z,75,15,19,41,76,60,0.07149950347567031
32354267379,2021-05-29T07:24:30Z,61,18,12,31,69,56,0.12066574202496533
32342346196,2021-05-28T07:28:30Z,73,16,19,38,68,56,0.07502930832356389
32330545973,2021-05-27T07:31:30Z,70,16,17,37,84,55,0.0866738894907909
32316860738,2021-05-26T07:06:30Z,72,17,18,37,76,55,0.07347876004592423
32307516000,2021-05-25T07:38:30Z,78,17,22,39,48,57,0.08915145005370569
32294138220,2021-05-24T11:40:30Z,70,15,20,35,35,57,0.055800293685756244
32279814392,2021-05-23T09:14:30Z,80,16,22,42,85,59,0.07957813998082454
32265741295,2021-05-22T08:55:30Z,70,16,13,41,81,56,0.0903954802259887
32252669450,2021-05-21T07:23:00Z,72,16,18,38,41,56,0.06826801517067003
32235648682,2021-05-20T07:29:30Z,71,15,18,38,73,55,0.0781078107810781
32222237837,2021-05-19T07:34:00Z,79,17,21,41,83,56,0.06979062811565304
32208668614,2021-05-18T07:44:30Z,80,18,19,43,110,56,0.07042253521126761
32192714223,2021-05-17T07:45:00Z,73,16,17,40,56,57,0.09130434782608696
32180275111,2021-05-16T09:20:30Z,71,16,17,38,77,57,0.07513812154696133
32171423138,2021-05-15T10:34:00Z,73,17,14,42,67,55,0.05844155844155844
32154660841,2021-05-14T08:42:30Z,70,16,19,35,54,55,0.08301404853128991
32142816206,2021-05-13T09:11:00Z,78,17,21,40,82,55,0.07178464606181456
32128865139,2021-05-12T07:29:00Z,76,17,22,37,68,57,0.06441048034934498
32113161652,2021-05-11T07:29:00Z,77,19,21,37,58,60,0.07882882882882883
32113161651,2021-05-10T07:39:30Z,79,17,20,42,46,61,0.08236536430834214
32113161650,2021-05-09T08:32:30Z,75,17,17,41,41,62,0.09532538955087076
32113161649,2021-05-08T10:03:30Z,71,21,13,37,66,61,0.0851305334846765
32113161648,2021-05-07T07:40:30Z,72,14,21,37,46,60,0.06627218934911243
32045953820,2021-05-06T07:37:30Z,63,16,13,34,86,59,0.09845788849347568
32032090281,2021-05-05T07:26:30Z,70,17,18,35,41,58,0.0893854748603352
32020577840,2021-05-04T07:54:30Z,71,16,21,34,41,58,0.07885304659498207
32007191511,2021-05-03T06:45:00Z,66,16,14,36,68,58,0.08377659574468085
31992873713,2021-05-02T08:23:30Z,77,16,21,40,93,58,0.06263982102908278
31981018305,2021-05-01T09:27:30Z,79,16,18,45,44,57,0.08810172570390554
31967555061,2021-04-30T07:29:30Z,71,15,20,36,60,58,0.0919674039580908
31952034025,2021-04-29T07:29:30Z,79,17,21,41,49,59,0.08686659772492245
31937649879,2021-04-28T08:12:00Z,76,22,12,42,85,56,0.09696969696969697
31932736179,2021-04-27T07:28:00Z,71,17,18,36,71,56,0.078125
31910588500,2021-04-26T07:33:00Z,69,15,19,35,66,56,0.07582260371959942
31897532993,2021-04-25T08:36:30Z,77,17,20,40,75,56,0.0921435499515034
31883725656,2021-04-24T08:07:00Z,74,16,21,37,70,56,0.06882168925964546
31871208489,2021-04-23T07:23:30Z,74,16,22,36,61,57,0.08222490931076179
31858947118,2021-04-22T07:29:00Z,87,18,22,47,67,58,0.06641000962463908
31845440864,2021-04-21T07:30:00Z,75,16,21,38,79,59,0.07427341227125941
31827716087,2021-04-20T07:34:00Z,69,14,19,36,47,58,0.09090909090909091
31814318091,2021-04-19T07:25:30Z,62,16,12,34,50,56,0.11890606420927467
31801609574,2021-04-18T08:34:00Z,72,15,20,37,85,56,0.08177570093457943
31796655389,2021-04-17T07:59:30Z,77,17,22,38,83,57,0.09130913091309131
31777000678,2021-04-16T07:27:00Z,79,17,23,39,71,58,0.06802721088435375
31761524979,2021-04-15T07:25:00Z,70,16,23,31,54,58,0.07454289732770746
31747154071,2021-04-14T07:36:30Z,79,17,21,41,48,58,0.08135942327497425
31732424443,2021-04-13T07:29:30Z,73,15,23,35,49,60,0.06989853438556934
31716399321,2021-04-12T07:35:30Z,77,16,22,39,69,60,0.06480446927374302
31716399319,2021-04-11T08:00:30Z,55,13,17,25,28,61,0.1037037037037037
31716399318,2021-04-10T08:28:30Z,77,16,20,41,80,61,0.0818268315889629
31716399317,2021-04-09T07:17:00Z,69,15,16,38,69,60,0.09324009324009325
31716399316,2021-04-08T07:29:00Z,75,15,20,40,28,59,0.08830275229357798
31645170867,2021-04-07T07:38:00Z,83,21,20,42,78,60,0.0944386149003148
31631013407,2021-04-06T07:29:30Z,75,20,18,37,30,61,0.07577639751552795
31631013406,2021-04-05T08:21:00Z,78,16,19,43,57,61,0.07660020986358866
31601795790,2021-04-04T08:39:30Z,70,17,18,35,61,60,0.06015037593984962
31598121191,2021-04-03T07:56:30Z,71,17,21,33,60,60,0.07863695937090433
31598121190,2021-04-02T08:57:00Z,77,16,19,42,73,61,0.0701219512195122
31561042624,2021-04-01T07:54:30Z,73,15,18,40,94,61,0.12185297079556898
31547900916,2021-03-31T07:35:00Z,75,16,20,39,53,64,0.06447831184056271
31547900915,2021-03-30T07:30:30Z,79,18,21,40,66,64,0.07683741648106904
31521610622,2021-03-29T07:37:30Z,76,17,14,45,83,62,0.10238305383936452
31513331841,2021-03-28T10:31:30Z,67,16,15,36,74,60,0.07506053268765134
31493950437,2021-03-27T08:12:30Z,72,16,20,36,40,60,0.08745684695051784
31482777483,2021-03-26T07:27:00Z,76,19,23,34,72,61,0.0624263839811543
31475253618,2021-03-25T07:27:00Z,74,15,20,39,62,63,0.07709750566893424
31475253617,2021-03-24T07:29:00Z,62,16,14,32,69,62,0.09703779366700716
31475253616,2021-03-23T07:11:30Z,76,19,18,39,52,61,0.08135593220338982
31475253615,2021-03-22T07:25:30Z,72,15,21,36,67,60,0.09540636042402827
31475253614,2021-03-21T08:02:00Z,68,16,15,37,65,60,0.09030837004405286
31475253613,2021-03-20T08:10:00Z,77,16,20,41,74,61,0.07939508506616257
31475253612,2021-03-19T07:11:30Z,72,17,17,38,74,61,0.08775731310942579
31329941146,2021-03-15T07:25:30Z,73,17,20,36,58,62,0.09540636042402827
31311276181,2021-03-14T07:31:30Z,70,15,17,38,74,63,0.1197110423116615
31298350770,2021-03-13T08:05:30Z,80,18,22,40,107,63,0.08386508659981769
31285389428,2021-03-12T07:12:30Z,68,16,19,33,54,64,0.10566037735849057
31270477702,2021-03-11T07:17:30Z,71,15,18,38,88,64,0.07407407407407407
31256942267,2021-03-10T07:28:30Z,64,15,17,32,64,63,0.0776566757493188
31243052379,2021-03-09T07:32:00Z,72,18,15,39,76,61,0.0784313725490196
31230306812,2021-03-08T07:27:00Z,75,16,21,38,75,63,0.07652533609100311
31223089474,2021-03-07T08:33:00Z,78,16,20,42,68,64,0.08
31223089473,2021-03-06T08:23:00Z,78,19,21,38,67,65,0.07733050847457627
31223089472,2021-03-05T07:30:00Z,71,14,20,37,45,64,0.07455621301775148
31223089471,2021-03-04T07:28:30Z,68,15,17,36,63,64,0.0678617157490397
31223089469,2021-03-03T07:28:30Z,70,16,17,37,74,66,0.08399545970488081
31223089468,2021-03-02T07:28:30Z,67,15,18,34,62,64,0.08487084870848709
31223089467,2021-03-01T07:57:00Z,77,18,22,37,42,65,0.07277628032345014
31046199781,2021-02-23T07:37:00Z,72,17,19,36,66,64,0.08656330749354005
31032148542,2021-02-22T07:42:30Z,72,16,19,37,39,64,0.07990012484394507
31018479816,2021-02-21T09:16:00Z,80,17,18,45,88,65,0.07896995708154507
31010078902,2021-02-20T09:24:00Z,77,17,18,42,57,66,0.07730923694779117
31001340586,2021-02-19T07:27:00Z,66,15,15,36,58,66,0.0678391959798995
31001340585,2021-02-18T08:45:30Z,65,16,13,36,63,65,0.08169596690796277
30965248276,2021-02-17T08:17:00Z,73,16,19,38,89,66,0.07464324917672886
30951819635,2021-02-16T08:07:00Z,74,16,16,42,76,66,0.07180570221752904
30936085886,2021-02-15T08:03:00Z,67,16,14,37,52,64,0.07665094339622641
30923209725,2021-02-14T10:38:00Z,70,17,14,39,91,61,0.06319290465631928
30909553799,2021-02-13T09:23:30Z,69,17,13,39,59,59,0.08059384941675504
30909553798,2021-02-12T08:49:30Z,72,16,18,38,69,59,0.05656350053361793
30884119262,2021-02-10T08:48:00Z,75,17,16,42,86,59,0.05708460754332314
30852606275,2021-02-09T08:45:30Z,69,17,16,36,57,59,0.08222490931076179
30840163972,2021-02-08T08:49:00Z,81,18,21,42,79,61,0.06777996070726916
30826222302,2021-02-07T09:53:30Z,76,17,17,42,56,61,0.07278165503489531
30813314840,2021-02-06T10:03:00Z,77,18,17,42,98,61,0.057172557172557176
30802261237,2021-02-05T08:50:30Z,70,16,18,36,48,62,0.05968331303288672
30802261236,2021-02-04T08:50:30Z,76,17,20,39,68,62,0.06111696522655427
30802261234,2021-02-03T08:51:30Z,70,16,16,38,28,61,0.06511627906976744
30802261233,2021-02-02T08:52:00Z,69,17,17,35,45,61,0.0660486674391657
30802261232,2021-02-01T08:53:30Z,76,16,23,37,55,61,0.07302709069493522
30802261231,2021-01-31T09:56:00Z,75,15,19,41,61,61,0.06291079812206572
30802261230,2021-01-30T09:07:30Z,68,17,14,37,79,62,0.08
30683048364,2021-01-28T08:51:00Z,72,14,19,39,45,61,0.055741360089186176
30670554721,2021-01-27T08:43:00Z,71,19,14,38,71,60,0.07234539089848308
30653036985,2021-01-26T08:03:30Z,72,14,17,41,77,61,0.08273748723186926
30637967946,2021-01-25T08:05:30Z,74,17,16,41,83,62,0.09532888465204957
30624438882,2021-01-24T09:45:00Z,79,18,15,46,98,61,0.07665198237885462
30610650639,2021-01-23T09:17:30Z,71,16,16,39,77,60,0.081008100810081
30610650638,2021-01-22T08:49:00Z,83,21,16,46,81,60,0.08856088560885608
30610650637,2021-01-21T08:25:00Z,68,16,17,35,27,61,0.08030112923462986
30610650636,2021-01-20T08:21:30Z,69,15,16,38,50,61,0.08480565371024736
30551292745,2021-01-19T08:37:30Z,74,18,21,35,74,63,0.07692307692307693
30546542907,2021-01-18T08:51:30Z,70,17,13,40,107,60,0.10921177587844255
30546542906,2021-01-17T09:51:00Z,72,17,13,42,56,61,0.07828810020876827
30546542905,2021-01-16T10:06:30Z,74,17,15,42,63,61,0.06458123107971746
30546542904,2021-01-15T08:21:30Z,76,16,19,41,69,61,0.07833163784333673
30546542903,2021-01-14T08:25:30Z,74,17,19,38,73,60,0.06966773847802786
30546542902,2021-01-13T08:29:30Z,76,17,18,41,74,61,0.07792207792207792
30546542901,2021-01-12T08:23:30Z,70,16,16,38,92,60,0.09061488673139159
30350110298,2021-01-05T08:27:00Z,72,17,18,37,77,60,0.09443099273607748
30336184215,2021-01-04T08:30:30Z,76,16,19,41,75,61,0.09418837675350701
30321058358,2021-01-03T09:35:30Z,78,16,17,45,47,62,0.10181190681622088
30308541506,2021-01-02T10:22:00Z,80,16,18,46,86,62,0.07706093189964158
30294326541,2021-01-01T10:35:30Z,78,16,23,39,52,67,0.07025246981339188
