sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
33018692559,2021-07-18T09:36:30Z,79,21,16,42,71,64,0.0863239573229874
33006567683,2021-07-17T10:17:00Z,72,17,15,40,71,63,0.09775280898876404
33000039309,2021-07-16T08:20:00Z,73,16,15,42,61,61,0.09063444108761329
32986325753,2021-07-15T08:50:30Z,80,17,22,41,96,61,0.07910750507099391
32969449991,2021-07-14T08:56:00Z,75,18,16,41,79,60,0.09916589434661724
32955316450,2021-07-13T08:49:00Z,79,18,21,40,88,62,0.07461024498886415
32941311974,2021-07-12T08:57:30Z,65,15,19,31,30,62,0.07377049180327869
32927683296,2021-07-11T07:32:30Z,73,17,19,37,64,62,0.07453416149068323
32916648916,2021-07-10T09:04:00Z,82,16,23,43,81,64,0.047105004906771344
32905349139,2021-07-09T07:52:30Z,70,18,15,37,70,62,0.05889570552147239
32888124366,2021-07-08T07:15:30Z,70,16,19,35,76,62,0.07630522088353414
32876038091,2021-07-07T07:23:30Z,69,16,17,36,68,59,0.07773851590106007
32864132541,2021-07-06T08:43:30Z,71,17,18,36,67,60,0.09398907103825137
32851019332,2021-07-05T08:49:00Z,75,17,16,42,81,59,0.0794148380355277
32838858044,2021-07-04T08:51:30Z,78,17,18,43,82,60,0.07817258883248732
32826869227,2021-07-03T09:14:00Z,70,15,16,39,89,59,0.056955093099671415
32814733595,2021-07-02T08:08:00Z,73,15,16,42,58,60,0.0696798493408663
32799374534,2021-07-01T07:49:00Z,72,17,19,36,62,61,0.06868451688009314
32786290318,2021-06-30T08:48:00Z,74,16,16,42,85,61,0.09533267130089375
32777569019,2021-06-29T07:45:30Z,58,15,13,30,32,59,0.06842923794712286
32755909341,2021-06-28T08:19:30Z,71,16,20,35,62,61,0.07628128724672228
32743214322,2021-06-27T08:10:00Z,80,16,21,43,72,62,0.06519558676028084
32729699283,2021-06-26T07:42:00Z,77,18,13,46,102,60,0.10266159695817491
32718480550,2021-06-25T08:42:30Z,76,18,22,36,95,62,0.10054054054054054
32704077391,2021-06-24T08:22:00Z,81,17,22,42,53,64,0.07180570221752904
32690210851,2021-06-23T07:38:00Z,71,19,17,35,55,62,0.06901217861975643
32675692028,2021-06-22T07:33:00Z,75,18,16,41,57,62,0.11632453567937438
32667449656,2021-06-21T07:30:00Z,67,16,17,34,73,62,0.12514220705346984
32650319579,2021-06-20T10:29:00Z,78,16,19,43,90,62,0.07395833333333333
32636265568,2021-06-19T08:55:30Z,73,16,22,35,103,62,0.07386990077177508
32622959711,2021-06-18T07:39:00Z,76,15,23,38,40,63,0.05282112845138055
32612409540,2021-06-17T08:50:30Z,72,16,20,36,66,63,0.09241952232606439
32601388722,2021-06-16T08:58:30Z,67,17,15,35,47,62,0.06641123882503193
32584926636,2021-06-15T08:36:30Z,75,14,19,42,90,62,0.07755946225439504
32560262356,2021-06-13T09:24:30Z,75,17,20,38,82,61,0.08945686900958466
32545658431,2021-06-12T07:32:30Z,71,15,18,38,46,63,0.07814407814407814
32534790100,2021-06-11T07:34:30Z,68,16,18,34,66,62,0.08863920099875156
32518993131,2021-06-10T07:45:00Z,71,15,19,37,28,62,0.082687338501292
32488642067,2021-06-08T07:30:00Z,74,16,21,37,50,63,0.08969696969696969
32474136000,2021-06-07T08:09:00Z,71,16,20,35,66,63,0.0799475753604194
32461039123,2021-06-06T09:17:00Z,74,15,22,37,71,66,0.11038251366120219
32448696484,2021-06-05T09:06:30Z,76,18,14,44,84,65,0.1122369446609509
32435641296,2021-06-04T07:21:00Z,67,17,14,36,53,63,0.09162011173184358
32420567043,2021-06-03T08:51:30Z,72,21,13,38,59,61,0.07011070110701106
32407217121,2021-06-02T08:17:00Z,74,18,14,42,88,61,0.10638297872340426
32392852145,2021-06-01T07:40:00Z,65,14,15,36,59,62,0.11663066954643629
