type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2021-05-31T23:51:30,2021-06-01T07:40,467,29.91370449678801,46.18721786988499,689.5402978470083,0.9899411579180781,1.9956917334427724
IDT,2021-06-01T23:28,2021-06-02T08:17,529,30.598676748582232,386.34338185770685,449.80636806285474,0.9585906517539875,1.9689090825938083
IDT,2021-06-03T02:05:30,2021-06-03T08:51:30,406,31.088423645320194,430.9736757747887,808.6191113566747,0.9568658267783186,1.9273034514476393
IDT,2021-06-03T23:53:30,2021-06-04T07:21,447,30.75883668903803,327.1702785008147,559.1265573474811,0.9392886728837403,1.8694027745076705
IDT,2021-06-04T22:24,2021-06-05T09:06:30,641,31.78424336973479,1045.5935349250358,2822.993791383691,0.9056535972824886,1.8343230221539344
IDT,2021-06-06T01:25:30,2021-06-06T09:17,471,30.230573248407644,36.512410217928846,738.4302252652124,0.8986724504999646,1.7969477081828371
IDT,2021-06-07T01:40:30,2021-06-07T08:09,388,30.906701030927834,292.4157434491626,476.5413582911715,0.9070002940422178,1.7614629837989015
IDT,2021-06-08T00:37,2021-06-08T07:30,413,30.799031476997577,256.55896005043905,789.8761258646846,0.8989499923730118,1.759584870826661
IDT,2021-06-10T01:02,2021-06-10T07:45,403,31.767741935483873,619.4789808917194,1895.5443368899869,0.9178140995706573,1.7808100136144072
IDT,2021-06-11T00:54:30,2021-06-11T07:34:30,400,30.42,0.0,220.54000000003725,0.9115015542630561,1.7606482534593992
IDT,2021-06-12T00:32,2021-06-12T07:32:30,420,31.113333333333333,291.1999999999989,402.9640000000363,0.9200167835204061,1.707099316453461
IDT,2021-06-13T01:33,2021-06-13T09:24:30,472,31.3260593220339,424.37329842932013,1363.2817932623439,0.9337594718200671,1.706279609810585
IDT,2021-06-15T00:33,2021-06-15T08:36:30,484,30.786983471074382,175.9348691099458,485.12063671217766,0.805765574198953,1.5893191003665628
IDT,2021-06-16T02:19,2021-06-16T08:58:30,400,31.46575,381.1719801264844,902.2509710838785,0.8014853136307687,1.5833850011325907
IDT,2021-06-17T00:49:30,2021-06-17T08:50:30,481,31.026819126819127,167.41801825232687,417.0359518409241,0.7926157774780266,1.5566117414112226
IDT,2021-06-18T00:42:30,2021-06-18T07:39,416,31.64543269230769,362.96940669661853,950.9303370136768,0.8197154953248119,1.5224142894834456
IDT,2021-06-19T01:22:30,2021-06-19T08:55:30,453,30.926490066225163,60.467614261700874,153.09349310037214,0.7753439477308874,1.4886289681666285
IDT,2021-06-20T02:10,2021-06-20T10:29,499,30.984168336673346,86.08868790922315,397.697158689145,0.7386896713448027,1.464932817741695
IDT,2021-06-21T00:07,2021-06-21T07:30,443,29.91060948081264,-399.15914079401773,935.0170647390187,0.7252617316657421,1.460027898513219
IDT,2021-06-21T22:58,2021-06-22T07:33,515,30.814951456310677,4.099394673126881,564.6275049255928,0.7237126464020968,1.4162667435899732
IDT,2021-06-23T01:21,2021-06-23T07:38,377,30.32838196286472,-175.16381771156557,679.971891340334,0.7255153953357478,1.3922524565089975
IDT,2021-06-24T00:23,2021-06-24T08:22,479,29.915031315240086,-410.9239283469233,1196.174686613842,0.7312141129884397,1.367674746490881
IDT,2021-06-25T01:00:30,2021-06-25T08:42:30,462,29.524242424242424,-576.8844569859666,1162.2854474284686,0.6933252017538791,1.3687512731147924
IDT,2021-06-25T20:44,2021-06-26T07:42,658,30.529483282674775,-160.17483267698117,678.1988708558492,0.6527396344238463,1.3354923648978776
IDT,2021-06-26T23:42,2021-06-27T08:10,508,30.50511811023622,-136.03832066855284,291.4566627762979,0.599755280970182,1.3118194202077906
IDT,2021-06-28T01:20:30,2021-06-28T08:19:30,414,31.034299516908213,99.89490574910451,693.7567927405471,0.5767453397569018,1.318236809924403
IDT,2021-06-29T02:24:30,2021-06-29T07:45:30,321,30.942367601246108,43.45573920402603,227.28667062229943,0.5676104650288992,1.2923532500467898
IDT,2021-06-30T00:20,2021-06-30T08:48,508,30.379133858267718,-217.351665060296,281.05438248906285,0.5687423550237513,1.2557769288211618
IDT,2021-07-01T00:39:30,2021-07-01T07:49,429,30.114452214452218,-297.09933919461946,798.1833504658425,0.5587886051305445,1.2663356217091504
