timestamp,Infrared to Red Signal Ratio
05/16/21 01:57:32,0
05/16/21 01:58:32,3
05/16/21 01:59:32,16
05/16/21 02:00:32,-8
05/16/21 02:01:32,3
05/16/21 02:02:32,-1
05/16/21 02:03:32,-16
05/16/21 02:04:33,1
05/16/21 02:05:33,6
05/16/21 02:06:33,0
05/16/21 02:07:33,3
05/16/21 02:08:33,-20
05/16/21 02:09:33,47
05/16/21 02:10:34,-5
05/16/21 02:11:34,2
05/16/21 02:12:34,13
05/16/21 02:13:34,14
05/16/21 02:14:34,1
05/16/21 02:15:34,0
05/16/21 02:16:34,5
05/16/21 02:17:35,24
05/16/21 02:18:35,1
05/16/21 02:19:35,21
05/16/21 02:20:35,0
05/16/21 02:21:35,0
05/16/21 02:22:35,0
05/16/21 02:23:35,-23
05/16/21 02:24:36,7
05/16/21 02:25:36,0
05/16/21 02:26:36,-7
05/16/21 02:27:36,45
05/16/21 02:28:36,5
05/16/21 02:29:36,-7
05/16/21 02:30:37,29
05/16/21 02:31:37,42
05/16/21 02:32:37,2
05/16/21 02:33:37,-4
05/16/21 02:34:37,0
05/16/21 02:35:37,1
05/16/21 02:36:37,56
05/16/21 02:37:38,0
05/16/21 02:38:38,-13
05/16/21 02:39:38,-4
05/16/21 02:40:38,0
05/16/21 02:41:38,19
05/16/21 02:42:38,6
05/16/21 02:43:38,0
05/16/21 02:44:39,28
05/16/21 02:45:39,7
05/16/21 02:46:39,-2
05/16/21 02:47:39,26
05/16/21 02:48:39,13
05/16/21 02:49:39,8
05/16/21 02:50:40,-13
05/16/21 02:51:40,13
05/16/21 02:52:40,0
05/16/21 02:53:40,5
05/16/21 02:54:40,2
05/16/21 02:55:40,0
05/16/21 02:56:40,11
05/16/21 02:57:41,-13
05/16/21 02:58:41,56
05/16/21 02:59:41,42
05/16/21 03:00:41,-7
05/16/21 03:01:41,9
05/16/21 03:02:41,4
05/16/21 03:03:41,7
05/16/21 03:04:42,-1
05/16/21 03:05:42,0
05/16/21 03:06:42,0
05/16/21 03:07:42,0
05/16/21 03:08:42,0
05/16/21 03:09:42,-11
05/16/21 03:10:43,3
05/16/21 03:11:43,19
05/16/21 03:12:43,0
05/16/21 03:13:43,-52
05/16/21 03:14:43,15
05/16/21 03:15:43,-6
05/16/21 03:16:43,-13
05/16/21 03:17:44,-4
05/16/21 03:18:44,0
05/16/21 03:19:44,11
05/16/21 03:20:44,6
05/16/21 03:21:44,30
05/16/21 03:22:44,-8
05/16/21 03:23:44,-2
05/16/21 03:24:45,0
05/16/21 03:25:45,-1
05/16/21 03:26:45,7
05/16/21 03:27:45,-11
05/16/21 03:28:45,18
05/16/21 03:29:45,21
05/16/21 03:30:46,5
05/16/21 03:31:46,0
05/16/21 03:32:46,0
05/16/21 03:33:46,-11
05/16/21 03:34:46,-5
05/16/21 03:35:46,9
05/16/21 03:36:46,-65
05/16/21 03:37:47,0
05/16/21 03:38:47,-1
05/16/21 03:39:47,13
05/16/21 03:40:47,-8
05/16/21 03:41:47,-60
05/16/21 03:42:47,-30
05/16/21 03:43:47,-12
05/16/21 03:44:48,-1
05/16/21 03:45:48,0
05/16/21 03:46:48,0
05/16/21 03:47:48,-67
05/16/21 03:48:48,-47
05/16/21 03:49:48,-43
05/16/21 03:50:49,-51
05/16/21 03:51:49,0
05/16/21 03:52:49,1
05/16/21 03:53:49,-41
05/16/21 03:54:49,0
05/16/21 03:55:49,-9
05/16/21 03:56:49,0
05/16/21 03:57:50,-13
05/16/21 03:58:50,5
05/16/21 03:59:50,-35
05/16/21 04:00:50,4
05/16/21 04:01:50,48
05/16/21 04:02:50,0
05/16/21 04:03:50,1
05/16/21 04:04:51,3
05/16/21 04:05:51,51
05/16/21 04:06:51,-4
05/16/21 04:07:51,-2
05/16/21 04:08:51,6
05/16/21 04:09:51,6
05/16/21 04:10:52,0
05/16/21 04:11:52,4
05/16/21 04:12:52,8
05/16/21 04:13:52,-34
05/16/21 04:14:52,-8
05/16/21 04:15:52,3
05/16/21 04:16:52,0
05/16/21 04:17:53,-1
05/16/21 04:18:53,-4
05/16/21 04:19:53,0
05/16/21 04:20:53,21
05/16/21 04:21:53,41
05/16/21 04:22:53,69
05/16/21 04:23:53,13
05/16/21 04:24:54,48
05/16/21 04:25:54,37
05/16/21 04:26:54,0
05/16/21 04:27:54,20
05/16/21 04:28:54,-4
05/16/21 04:29:54,0
05/16/21 04:30:55,71
05/16/21 04:31:55,-2
05/16/21 04:32:55,-24
05/16/21 04:33:55,-19
05/16/21 04:34:55,0
05/16/21 04:35:55,21
05/16/21 04:36:55,0
05/16/21 04:37:56,2
05/16/21 04:38:56,1
05/16/21 04:39:56,-31
05/16/21 04:40:56,-44
05/16/21 04:41:56,0
05/16/21 04:42:56,0
05/16/21 04:43:56,6
05/16/21 04:44:57,9
05/16/21 04:45:57,20
05/16/21 04:46:57,21
05/16/21 04:47:57,-6
05/16/21 04:48:57,3
05/16/21 04:49:57,-48
05/16/21 04:50:58,24
05/16/21 04:51:58,-17
05/16/21 04:52:58,28
05/16/21 04:53:58,0
05/16/21 04:54:58,60
05/16/21 04:55:58,-5
05/16/21 04:56:58,26
05/16/21 04:57:59,-4
05/16/21 04:58:59,-6
05/16/21 04:59:59,40
05/16/21 05:00:59,-4
05/16/21 05:01:59,1
05/16/21 05:02:59,0
05/16/21 05:03:59,-32
05/16/21 05:05:00,-82
05/16/21 05:06:00,0
05/16/21 05:07:00,0
05/16/21 05:08:00,0
05/16/21 05:09:00,0
05/16/21 05:10:00,0
05/16/21 05:11:01,0
05/16/21 05:12:01,0
05/16/21 05:13:01,0
05/16/21 05:14:01,36
05/16/21 05:15:01,0
05/16/21 05:16:01,0
05/16/21 05:17:01,-8
05/16/21 05:18:02,-35
05/16/21 05:19:02,1
05/16/21 05:20:02,12
05/16/21 05:21:02,9
05/16/21 05:22:02,18
05/16/21 05:23:02,7
05/16/21 05:24:02,-5
05/16/21 05:25:03,0
05/16/21 05:26:03,14
05/16/21 05:27:03,13
05/16/21 05:28:03,5
05/16/21 05:29:03,20
05/16/21 05:30:03,9
05/16/21 05:31:04,4
05/16/21 05:32:04,1
05/16/21 05:33:04,1
05/16/21 05:34:04,0
05/16/21 05:35:04,0
05/16/21 05:36:04,-7
05/16/21 05:37:04,0
05/16/21 05:38:05,0
05/16/21 05:39:05,1
05/16/21 05:40:05,-13
05/16/21 05:41:05,8
05/16/21 05:42:05,-3
05/16/21 05:43:05,-13
05/16/21 05:44:05,-28
05/16/21 05:45:06,0
05/16/21 05:46:06,-2
05/16/21 05:47:06,0
05/16/21 05:48:06,-2
05/16/21 05:49:06,72
05/16/21 05:50:06,0
05/16/21 05:51:07,-2
05/16/21 05:52:07,34
05/16/21 05:53:07,38
05/16/21 05:54:07,21
05/16/21 05:55:07,0
05/16/21 05:56:07,0
05/16/21 05:57:07,0
05/16/21 05:58:08,0
05/16/21 05:59:08,-10
05/16/21 06:00:08,0
05/16/21 06:01:08,11
05/16/21 06:02:08,0
05/16/21 06:03:08,6
05/16/21 06:04:08,0
05/16/21 06:05:09,0
05/16/21 06:06:09,34
05/16/21 06:07:09,-4
05/16/21 06:08:09,32
05/16/21 06:09:09,-8
05/16/21 06:10:09,-3
05/16/21 06:11:10,-1
05/16/21 06:12:10,0
05/16/21 06:13:10,26
05/16/21 06:14:10,0
05/16/21 06:15:10,19
05/16/21 06:16:10,16
05/16/21 06:17:10,0
05/16/21 06:18:11,9
05/16/21 06:19:11,-6
05/16/21 06:20:11,0
05/16/21 06:21:11,1
05/16/21 06:22:11,10
05/16/21 06:23:11,54
05/16/21 06:24:12,4
05/16/21 06:25:12,0
05/16/21 06:26:12,-20
05/16/21 06:27:12,30
05/16/21 06:28:12,0
05/16/21 06:29:12,-8
05/16/21 06:30:12,7
05/16/21 06:31:13,0
05/16/21 06:32:13,0
05/16/21 06:33:13,38
05/16/21 06:34:13,4
05/16/21 06:35:13,17
05/16/21 06:36:13,43
05/16/21 06:37:13,20
05/16/21 06:38:14,3
05/16/21 06:39:14,-9
05/16/21 06:40:14,0
05/16/21 06:41:14,0
05/16/21 06:42:14,0
05/16/21 06:43:14,0
05/16/21 06:44:15,0
05/16/21 06:45:15,0
05/16/21 06:46:15,0
05/16/21 06:47:15,0
05/16/21 06:48:15,-45
05/16/21 06:49:15,-11
05/16/21 06:50:15,2
05/16/21 06:51:16,19
05/16/21 06:52:16,12
05/16/21 06:53:16,0
05/16/21 06:54:16,-6
05/16/21 06:55:16,2
05/16/21 06:56:16,11
05/16/21 06:57:16,1
05/16/21 06:58:17,0
05/16/21 06:59:17,66
05/16/21 07:00:17,4
05/16/21 07:01:17,50
05/16/21 07:02:17,7
05/16/21 07:03:17,17
05/16/21 07:04:18,0
05/16/21 07:05:18,34
05/16/21 07:06:18,2
05/16/21 07:07:18,0
05/16/21 07:08:18,0
05/16/21 07:09:18,0
05/16/21 07:10:18,0
05/16/21 07:11:19,0
05/16/21 07:12:19,0
05/16/21 07:13:19,0
05/16/21 07:14:19,0
05/16/21 07:15:19,0
05/16/21 07:16:19,0
05/16/21 07:17:19,0
05/16/21 07:18:20,0
05/16/21 07:19:20,99
05/16/21 07:20:20,0
05/16/21 07:21:20,39
05/16/21 07:22:20,3
05/16/21 07:23:20,0
05/16/21 07:24:21,-17
05/16/21 07:25:21,-21
05/16/21 07:26:21,1
05/16/21 07:27:21,-29
05/16/21 07:28:21,0
05/16/21 07:29:21,30
05/16/21 07:30:21,0
05/16/21 07:31:22,-56
