timestamp,Infrared to Red Signal Ratio
01/27/21 01:43:31,6
01/27/21 01:44:32,-3
01/27/21 01:45:32,0
01/27/21 01:53:01,3
01/27/21 01:54:01,1
01/27/21 01:55:01,0
01/27/21 01:56:01,-1
01/27/21 01:57:01,-1
01/27/21 01:58:01,0
01/27/21 01:59:02,0
01/27/21 02:00:02,-1
01/27/21 02:01:02,-1
01/27/21 02:02:02,0
01/27/21 02:03:02,-3
01/27/21 02:04:02,-14
01/27/21 02:05:02,-11
01/27/21 02:06:03,-23
01/27/21 02:07:06,-25
01/27/21 02:08:06,-16
01/27/21 02:09:06,14
01/27/21 02:10:06,-22
01/27/21 02:11:06,13
01/27/21 02:12:06,5
01/27/21 02:13:06,12
01/27/21 02:14:07,0
01/27/21 02:15:07,5
01/27/21 02:16:07,-1
01/27/21 02:17:07,22
01/27/21 02:18:07,2
01/27/21 02:19:07,-1
01/27/21 02:20:07,-4
01/27/21 02:21:08,3
01/27/21 02:22:08,21
01/27/21 02:23:08,-9
01/27/21 02:24:09,3
01/27/21 02:25:09,22
01/27/21 02:26:09,2
01/27/21 02:27:09,-3
01/27/21 02:28:09,-1
01/27/21 02:29:09,3
01/27/21 02:30:09,1
01/27/21 02:31:10,0
01/27/21 02:32:10,0
01/27/21 02:33:10,0
01/27/21 02:34:10,0
01/27/21 02:35:10,9
01/27/21 02:36:10,18
01/27/21 02:37:11,-38
01/27/21 02:38:11,-53
01/27/21 02:39:11,-2
01/27/21 02:40:11,-15
01/27/21 02:41:12,-1
01/27/21 02:42:12,0
01/27/21 02:43:12,-7
01/27/21 02:44:12,16
01/27/21 02:45:12,0
01/27/21 02:46:12,2
01/27/21 02:47:12,0
01/27/21 02:48:13,0
01/27/21 02:49:13,0
01/27/21 02:50:13,-1
01/27/21 02:51:13,-44
01/27/21 02:52:15,0
01/27/21 02:53:15,-26
01/27/21 02:54:15,-3
01/27/21 02:55:15,-51
01/27/21 02:56:15,-3
01/27/21 02:57:15,-30
01/27/21 02:58:16,-1
01/27/21 02:59:16,-3
01/27/21 03:00:16,-1
01/27/21 03:01:16,0
01/27/21 03:02:16,0
01/27/21 03:03:16,-40
01/27/21 03:04:17,0
01/27/21 03:05:17,0
01/27/21 03:06:17,-7
01/27/21 03:07:19,-3
01/27/21 03:08:19,-23
01/27/21 03:09:20,8
01/27/21 03:10:20,-1
01/27/21 03:11:20,-1
01/27/21 03:12:20,27
01/27/21 03:13:20,-4
01/27/21 03:14:20,1
01/27/21 03:15:20,-2
01/27/21 03:16:21,0
01/27/21 03:17:21,-3
01/27/21 03:18:21,-11
01/27/21 03:19:21,17
01/27/21 03:20:21,0
01/27/21 03:21:21,5
01/27/21 03:22:21,7
01/27/21 03:23:22,15
01/27/21 03:24:22,3
01/27/21 03:25:22,-14
01/27/21 03:26:22,-3
01/27/21 03:27:22,-6
01/27/21 03:28:22,28
01/27/21 03:29:23,4
01/27/21 03:30:23,1
01/27/21 03:31:23,-2
01/27/21 03:32:23,0
01/27/21 03:33:23,0
01/27/21 03:34:23,0
01/27/21 03:35:23,0
01/27/21 03:36:24,0
01/27/21 03:37:24,-7
01/27/21 03:38:24,-8
01/27/21 03:39:24,-1
01/27/21 03:40:24,-8
01/27/21 03:41:24,-22
01/27/21 03:42:24,-4
01/27/21 03:43:25,10
01/27/21 03:44:25,0
01/27/21 03:45:25,-7
01/27/21 03:46:25,17
01/27/21 03:47:25,-1
01/27/21 03:48:25,-21
01/27/21 03:49:25,-2
01/27/21 03:50:26,47
01/27/21 03:51:26,-11
01/27/21 03:52:26,-2
01/27/21 03:53:26,0
01/27/21 03:54:26,-8
01/27/21 03:55:26,2
01/27/21 03:56:27,2
01/27/21 03:57:27,12
01/27/21 03:58:27,-1
01/27/21 03:59:27,-7
01/27/21 04:00:27,0
01/27/21 04:01:27,-1
01/27/21 04:02:27,-1
