timestamp,Infrared to Red Signal Ratio
05/18/21 00:18:01,87
05/18/21 00:19:01,1
05/18/21 00:20:01,0
05/18/21 00:21:01,-2
05/18/21 00:22:01,-3
05/18/21 00:23:01,1
05/18/21 00:24:02,13
05/18/21 00:25:02,0
05/18/21 00:26:02,2
05/18/21 00:27:02,9
05/18/21 00:28:02,-10
05/18/21 00:29:02,0
05/18/21 00:30:03,-30
05/18/21 00:31:03,-4
05/18/21 00:32:05,-2
05/18/21 00:33:06,2
05/18/21 00:34:06,7
05/18/21 00:35:06,3
05/18/21 00:36:06,25
05/18/21 00:37:06,2
05/18/21 00:38:06,-12
05/18/21 00:39:06,2
05/18/21 00:40:07,-1
05/18/21 00:41:07,18
05/18/21 00:42:07,1
05/18/21 00:43:07,15
05/18/21 00:44:07,3
05/18/21 00:45:07,11
05/18/21 00:46:07,0
05/18/21 00:47:08,0
05/18/21 00:48:07,1
05/18/21 00:49:07,-5
05/18/21 00:50:08,3
05/18/21 00:51:08,-1
05/18/21 00:52:08,4
05/18/21 00:53:08,20
05/18/21 00:54:08,12
05/18/21 00:55:08,-74
05/18/21 00:56:08,-13
05/18/21 00:57:09,0
05/18/21 00:58:09,-23
05/18/21 00:59:09,-36
05/18/21 01:00:09,9
05/18/21 01:01:09,0
05/18/21 01:02:09,0
05/18/21 01:03:13,0
05/18/21 01:04:13,-51
05/18/21 01:05:13,0
05/18/21 01:06:13,0
05/18/21 01:07:13,37
05/18/21 01:08:13,-64
05/18/21 01:09:13,0
05/18/21 01:10:14,0
05/18/21 01:11:14,0
05/18/21 01:12:14,0
05/18/21 01:13:14,-4
05/18/21 01:14:14,0
05/18/21 01:15:14,-41
05/18/21 01:16:14,37
05/18/21 01:17:15,-6
05/18/21 01:18:18,0
05/18/21 01:19:18,-2
05/18/21 01:20:18,0
05/18/21 01:21:18,0
05/18/21 01:22:18,52
05/18/21 01:23:18,3
05/18/21 01:24:18,33
05/18/21 01:25:19,0
05/18/21 01:26:19,28
05/18/21 01:27:19,4
05/18/21 01:28:19,-2
05/18/21 01:29:19,-8
05/18/21 01:30:19,0
05/18/21 01:31:19,0
05/18/21 01:32:20,23
05/18/21 01:33:20,9
05/18/21 01:34:20,-2
05/18/21 01:35:20,-3
05/18/21 01:36:21,0
05/18/21 01:37:21,0
05/18/21 01:38:21,0
05/18/21 01:39:21,3
05/18/21 01:40:21,-3
05/18/21 01:41:21,0
05/18/21 01:42:22,18
05/18/21 01:43:22,0
05/18/21 01:44:22,-67
05/18/21 01:45:22,-86
05/18/21 01:46:22,4
05/18/21 01:47:22,0
05/18/21 01:48:22,0
05/18/21 01:49:22,-8
05/18/21 01:50:22,-4
05/18/21 01:51:22,-30
05/18/21 01:52:23,-35
05/18/21 01:53:23,0
05/18/21 01:54:23,0
05/18/21 01:55:23,-8
05/18/21 01:56:23,0
05/18/21 01:57:23,-1
05/18/21 01:58:24,-56
05/18/21 01:59:24,8
05/18/21 02:00:24,-4
05/18/21 02:01:24,-4
05/18/21 02:02:24,16
05/18/21 02:03:24,0
05/18/21 02:04:26,-1
05/18/21 02:05:26,-46
05/18/21 02:06:26,1
