timestamp,Infrared to Red Signal Ratio
07/05/21 00:59:02,-19
07/05/21 01:00:02,13
07/05/21 01:01:02,3
07/05/21 01:02:02,0
07/05/21 01:03:02,10
07/05/21 01:04:02,0
07/05/21 01:05:02,0
07/05/21 01:06:03,0
07/05/21 01:07:03,-3
07/05/21 01:08:03,6
07/05/21 01:09:04,0
07/05/21 01:10:04,-78
07/05/21 01:11:04,-3
07/05/21 01:12:05,0
07/05/21 01:13:05,2
07/05/21 01:14:05,19
07/05/21 01:15:05,1
07/05/21 01:16:05,0
07/05/21 01:17:05,-15
07/05/21 01:18:05,-10
07/05/21 01:19:06,0
07/05/21 01:20:06,2
07/05/21 01:21:06,8
07/05/21 01:22:06,0
07/05/21 01:23:06,0
07/05/21 01:24:06,18
07/05/21 01:25:07,-3
07/05/21 01:26:07,0
07/05/21 01:27:07,1
07/05/21 01:28:07,2
07/05/21 01:29:07,0
07/05/21 01:30:07,7
07/05/21 01:31:07,-2
07/05/21 01:32:08,17
07/05/21 01:33:08,19
07/05/21 01:34:08,7
07/05/21 01:35:08,-9
07/05/21 01:36:08,0
07/05/21 01:37:08,-1
07/05/21 01:38:08,-5
07/05/21 01:39:08,0
07/05/21 01:40:09,0
07/05/21 01:41:10,2
07/05/21 01:42:10,0
07/05/21 01:43:10,-3
07/05/21 01:44:10,0
07/05/21 01:45:10,0
07/05/21 01:46:10,-32
07/05/21 01:47:10,0
07/05/21 01:48:11,0
07/05/21 01:49:11,0
07/05/21 01:50:11,0
07/05/21 01:51:11,0
07/05/21 01:52:11,0
07/05/21 01:53:11,0
07/05/21 01:54:12,0
07/05/21 01:55:12,0
07/05/21 01:56:12,0
07/05/21 01:57:12,0
07/05/21 01:58:12,0
07/05/21 01:59:12,0
07/05/21 02:00:12,0
07/05/21 02:01:13,0
07/05/21 02:02:13,0
07/05/21 02:03:13,0
07/05/21 02:04:13,0
07/05/21 02:05:13,0
07/05/21 02:06:13,0
07/05/21 02:07:13,0
07/05/21 02:08:14,0
07/05/21 02:09:14,0
07/05/21 02:10:14,0
07/05/21 02:11:14,0
07/05/21 02:12:15,0
07/05/21 02:13:15,-18
07/05/21 02:14:15,1
07/05/21 02:15:15,-2
07/05/21 02:16:15,4
07/05/21 02:17:15,0
07/05/21 02:18:15,6
07/05/21 02:19:16,-8
07/05/21 02:20:16,-23
07/05/21 02:21:16,-25
07/05/21 02:22:16,0
07/05/21 02:23:16,0
07/05/21 02:24:16,0
07/05/21 02:25:17,0
07/05/21 02:26:17,0
07/05/21 02:27:17,0
07/05/21 02:28:17,0
07/05/21 02:29:17,0
07/05/21 02:30:17,0
07/05/21 02:31:18,0
07/05/21 02:32:18,-21
07/05/21 02:33:18,0
07/05/21 02:34:18,0
07/05/21 02:35:18,0
07/05/21 02:36:18,0
07/05/21 02:37:18,0
07/05/21 02:38:19,0
07/05/21 02:39:19,0
07/05/21 02:40:18,0
07/05/21 02:41:19,0
07/05/21 02:42:19,0
07/05/21 02:43:19,0
07/05/21 02:44:19,0
07/05/21 02:45:19,0
07/05/21 02:46:19,0
07/05/21 02:47:19,0
07/05/21 02:48:20,0
07/05/21 02:49:20,0
07/05/21 02:50:20,0
07/05/21 02:51:20,0
07/05/21 02:52:20,0
07/05/21 02:53:20,0
07/05/21 02:54:21,0
07/05/21 02:55:20,0
07/05/21 02:56:21,0
