timestamp,Infrared to Red Signal Ratio
05/01/21 00:31:01,0
05/01/21 00:32:01,40
05/01/21 00:33:02,25
05/01/21 00:34:05,-1
05/01/21 00:35:05,7
05/01/21 00:36:05,15
05/01/21 00:37:05,2
05/01/21 00:38:05,26
05/01/21 00:39:06,0
05/01/21 00:40:06,0
05/01/21 00:41:06,4
05/01/21 00:42:06,-1
05/01/21 00:43:06,0
05/01/21 00:44:06,4
05/01/21 00:45:06,5
05/01/21 00:46:07,0
05/01/21 00:47:07,17
05/01/21 00:48:07,-25
05/01/21 00:49:11,-4
05/01/21 00:50:11,30
05/01/21 00:51:11,0
05/01/21 00:52:11,-30
05/01/21 00:53:11,0
05/01/21 00:54:11,-26
05/01/21 00:55:11,3
05/01/21 00:56:12,-28
05/01/21 00:57:12,-8
05/01/21 00:58:12,0
05/01/21 00:59:12,-8
05/01/21 01:00:12,17
05/01/21 01:01:12,-1
05/01/21 01:02:12,-5
05/01/21 01:03:13,22
05/01/21 01:04:14,0
05/01/21 01:05:14,0
05/01/21 01:06:14,0
05/01/21 01:07:14,0
05/01/21 01:08:15,0
05/01/21 01:09:15,0
05/01/21 01:10:15,0
05/01/21 01:11:15,0
05/01/21 01:12:15,0
05/01/21 01:13:15,0
05/01/21 01:14:15,17
05/01/21 01:15:16,0
05/01/21 01:16:16,0
05/01/21 01:17:16,0
05/01/21 01:18:16,0
05/01/21 01:19:16,0
05/01/21 01:20:19,0
05/01/21 01:21:19,0
05/01/21 01:22:19,0
05/01/21 01:23:19,0
05/01/21 01:24:19,-17
05/01/21 01:25:19,-2
05/01/21 01:26:20,-5
05/01/21 01:27:20,-20
05/01/21 01:28:20,-41
05/01/21 01:29:20,-6
05/01/21 01:30:20,-24
05/01/21 01:31:20,-60
05/01/21 01:32:20,-2
05/01/21 01:33:21,-3
05/01/21 01:34:21,-19
05/01/21 01:35:25,0
05/01/21 01:36:25,0
05/01/21 01:37:25,-29
05/01/21 01:38:25,-9
05/01/21 01:39:25,-16
05/01/21 01:40:25,-15
05/01/21 01:41:25,0
05/01/21 01:42:26,4
05/01/21 01:43:26,0
05/01/21 01:44:26,-34
05/01/21 01:45:26,0
05/01/21 01:46:26,-52
05/01/21 01:47:26,0
05/01/21 01:48:26,13
05/01/21 01:49:27,-8
05/01/21 01:50:27,-54
05/01/21 01:51:27,-20
05/01/21 01:52:28,-26
05/01/21 01:53:28,21
05/01/21 01:54:28,3
05/01/21 01:55:28,-2
05/01/21 01:56:28,-24
05/01/21 01:57:28,38
05/01/21 01:58:29,8
05/01/21 01:59:29,-4
05/01/21 02:00:29,-20
05/01/21 02:01:29,-6
05/01/21 02:02:29,13
05/01/21 02:03:29,18
05/01/21 02:04:29,-36
05/01/21 02:05:32,0
05/01/21 02:06:32,0
05/01/21 02:07:32,17
05/01/21 02:08:32,-20
05/01/21 02:09:33,-32
05/01/21 02:10:33,20
