timestamp,Infrared to Red Signal Ratio
05/23/21 00:44:32,-8
05/23/21 00:45:32,0
05/23/21 00:46:33,1
05/23/21 00:47:33,0
05/23/21 00:48:33,0
05/23/21 00:49:33,1
05/23/21 00:50:33,0
05/23/21 00:51:33,0
05/23/21 00:52:33,0
05/23/21 00:53:34,0
05/23/21 00:54:34,0
05/23/21 00:56:00,0
05/23/21 00:57:00,0
05/23/21 00:58:00,0
05/23/21 00:59:01,0
05/23/21 01:00:01,0
05/23/21 01:01:01,0
05/23/21 01:02:01,0
05/23/21 01:03:01,0
05/23/21 01:04:01,0
05/23/21 01:05:01,0
05/23/21 01:06:02,-34
05/23/21 01:07:02,26
05/23/21 01:08:02,0
05/23/21 01:09:02,0
05/23/21 01:10:02,7
05/23/21 01:11:02,13
05/23/21 01:12:04,-2
05/23/21 01:13:04,13
05/23/21 01:14:04,-8
05/23/21 01:15:04,0
05/23/21 01:16:04,0
05/23/21 01:17:04,-26
05/23/21 01:18:05,0
05/23/21 01:19:05,0
05/23/21 01:20:05,0
05/23/21 01:21:05,-13
05/23/21 01:22:05,2
05/23/21 01:23:05,17
05/23/21 01:24:05,-51
05/23/21 01:25:06,-23
05/23/21 01:26:06,0
05/23/21 01:27:06,-56
05/23/21 01:28:08,-3
05/23/21 01:29:08,0
05/23/21 01:30:08,4
05/23/21 01:31:08,4
05/23/21 01:32:08,1
05/23/21 01:33:08,23
05/23/21 01:34:09,-4
05/23/21 01:35:09,9
05/23/21 01:36:09,-21
05/23/21 01:37:09,-1
05/23/21 01:38:09,-34
05/23/21 01:39:09,-11
05/23/21 01:40:09,-21
05/23/21 01:41:10,1
05/23/21 01:42:10,0
05/23/21 01:43:11,0
05/23/21 01:44:12,1
05/23/21 01:45:12,48
05/23/21 01:46:12,0
05/23/21 01:47:12,0
05/23/21 01:48:12,0
05/23/21 01:49:12,0
05/23/21 01:50:13,0
05/23/21 01:51:13,0
05/23/21 01:52:13,0
05/23/21 01:53:13,0
05/23/21 01:54:13,0
05/23/21 01:55:13,0
05/23/21 01:56:13,0
05/23/21 01:57:14,0
05/23/21 01:58:16,0
05/23/21 01:59:16,0
05/23/21 02:00:16,0
05/23/21 02:01:17,0
05/23/21 02:02:17,0
05/23/21 02:03:17,0
05/23/21 02:04:17,0
05/23/21 02:05:17,0
05/23/21 02:06:17,-34
05/23/21 02:07:17,0
05/23/21 02:08:18,0
05/23/21 02:09:18,0
05/23/21 02:10:18,0
05/23/21 02:11:18,26
05/23/21 02:12:18,13
05/23/21 02:13:19,0
05/23/21 02:14:20,0
05/23/21 02:15:20,0
05/23/21 02:16:20,21
05/23/21 02:17:20,0
05/23/21 02:18:20,3
05/23/21 02:19:20,0
05/23/21 02:20:21,34
05/23/21 02:21:21,31
05/23/21 02:22:21,-11
05/23/21 02:23:21,0
05/23/21 02:24:21,0
05/23/21 02:25:21,8
05/23/21 02:26:21,8
05/23/21 02:27:22,-2
05/23/21 02:28:23,0
05/23/21 02:29:23,8
05/23/21 02:30:23,0
05/23/21 02:31:23,4
05/23/21 02:32:23,0
05/23/21 02:33:23,36
05/23/21 02:34:23,0
05/23/21 02:35:24,-3
05/23/21 02:36:24,-34
05/23/21 02:37:24,0
05/23/21 02:38:24,2
05/23/21 02:39:24,3
05/23/21 02:40:24,-4
05/23/21 02:41:25,0
05/23/21 02:42:25,43
05/23/21 02:43:25,-8
05/23/21 02:44:25,0
05/23/21 02:45:25,1
05/23/21 02:46:25,5
05/23/21 02:47:26,-1
05/23/21 02:48:26,1
05/23/21 02:49:26,17
05/23/21 02:50:26,-3
05/23/21 02:51:26,0
05/23/21 02:52:26,21
05/23/21 02:53:26,-12
05/23/21 02:54:27,-19
05/23/21 02:55:27,0
05/23/21 02:56:27,7
05/23/21 02:57:27,1
05/23/21 02:58:27,0
05/23/21 02:59:30,0
05/23/21 03:00:30,12
05/23/21 03:01:30,0
05/23/21 03:02:30,0
05/23/21 03:03:30,0
05/23/21 03:04:30,0
05/23/21 03:05:30,0
05/23/21 03:06:31,0
05/23/21 03:07:31,0
05/23/21 03:08:31,0
05/23/21 03:09:31,10
05/23/21 03:10:31,13
05/23/21 03:11:31,6
05/23/21 03:12:31,0
05/23/21 03:13:32,0
05/23/21 03:14:32,0
05/23/21 03:15:32,4
05/23/21 03:16:32,0
05/23/21 03:17:32,0
05/23/21 03:18:32,0
05/23/21 03:19:33,0
05/23/21 03:20:33,0
05/23/21 03:21:33,0
05/23/21 03:22:33,4
05/23/21 03:23:33,84
05/23/21 03:24:33,2
05/23/21 03:25:34,29
05/23/21 03:26:34,-48
05/23/21 03:27:34,7
05/23/21 03:28:34,25
05/23/21 03:29:34,-8
05/23/21 03:30:34,-33
05/23/21 03:31:34,-2
05/23/21 03:32:35,4
05/23/21 03:33:35,-4
05/23/21 03:34:35,34
05/23/21 03:35:35,-15
05/23/21 03:36:35,8
05/23/21 03:37:35,4
05/23/21 03:38:38,1
05/23/21 03:39:38,5
05/23/21 03:40:39,-7
05/23/21 03:41:39,-6
05/23/21 03:42:39,-4
05/23/21 03:43:39,0
05/23/21 03:44:39,2
05/23/21 03:45:39,-39
05/23/21 03:46:40,-8
05/23/21 03:47:40,1
05/23/21 03:48:40,1
05/23/21 03:49:40,0
05/23/21 03:50:40,6
05/23/21 03:51:40,16
05/23/21 03:52:40,2
05/23/21 03:53:41,27
05/23/21 03:54:41,0
05/23/21 03:55:41,0
05/23/21 03:56:41,-2
05/23/21 03:57:41,3
05/23/21 03:58:42,11
05/23/21 03:59:42,0
05/23/21 04:00:42,0
05/23/21 04:01:42,0
05/23/21 04:02:42,0
05/23/21 04:03:42,0
05/23/21 04:04:43,0
05/23/21 04:05:43,-15
05/23/21 04:06:43,8
