timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-07-01T07:49:00,20.2,1.0,7.459,18.6,2.2,4.841,,,,-1.0,0.0,2.389
2021-07-02T08:08:00,22.4,0.8,3.996,-1.0,0.0,2.15,,,,18.2,1.3,5.722
2021-07-03T09:14:00,16.4,1.4,4.98,16.4,1.4,4.98,,,,-1.0,0.0,0.0
2021-07-04T08:51:30,16.8,1.2,7.042,16.8,1.2,7.042,,,,-1.0,0.0,2.091
2021-07-05T08:49:00,19.0,1.6,6.715,18.0,2.1,4.095,,,,-1.0,0.0,1.693
2021-07-06T08:43:30,18.0,1.5,7.541,17.4,1.6,4.988,,,,-1.0,0.0,2.162
2021-07-07T07:23:30,19.2,1.6,6.916,17.8,1.9,4.77,,,,-1.0,0.0,2.027
2021-07-08T07:15:30,17.8,1.1,7.296,17.6,2.2,5.986,,,,18.0,0.9,3.105
2021-07-09T07:52:30,18.6,2.2,4.508,18.6,2.2,4.508,,,,-1.0,0.0,1.48
2021-07-10T09:04:00,19.4,2.3,7.098,17.8,1.8,7.962,,,,17.4,0.9,3.69
2021-07-11T07:32:30,19.2,1.1,8.954,18.4,1.4,7.583,,,,-1.0,0.0,1.667
2021-07-12T08:57:30,21.0,0.9,3.961,21.0,0.9,3.961,,,,-1.0,0.0,1.653
2021-07-13T08:49:00,19.2,2.1,6.257,19.2,2.1,6.257,,,,-1.0,0.0,2.006
2021-07-14T08:56:00,20.2,0.6,5.612,-1.0,0.0,2.381,,,,-1.0,0.0,2.191
2021-07-15T08:50:30,16.8,1.5,5.147,17.0,1.9,5.599,,,,16.0,0.5,2.555
2021-07-16T08:20:00,18.6,0.9,5.677,16.6,2.6,4.588,,,,-1.0,0.0,2.206
2021-07-17T10:17:00,18.8,2.5,5.563,17.2,1.5,4.214,,,,-1.0,0.0,2.299
2021-07-18T09:36:30,17.8,1.2,6.183,17.8,1.2,6.183,,,,-1.0,0.0,1.428
