type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2021-05-01T00:17:30,2021-05-01T09:27:30,550,29.413090909090908,-188.87344632768145,2468.226070413948,0.6493816014071909,1.952137048570491
IDT,2021-05-02T00:50,2021-05-02T08:23:30,454,28.705286343612332,-467.49539015802657,1203.5592507027322,0.6976780067806732,1.9253981648357181
IDT,2021-05-03T00:10,2021-05-03T06:45,395,28.55974683544304,-455.74299516908104,808.6370066979434,0.7450952582407178,1.8943093191567908
IDT,2021-05-04T00:56:30,2021-05-04T07:54:30,418,29.028947368421054,-261.00666479058054,2515.2169594859006,0.7473154082593947,1.922674140674783
IDT,2021-05-04T23:59:30,2021-05-05T07:26:30,447,31.286800894854586,703.253623188406,3853.2629944691435,0.7978069818999685,2.0026390590762184
IDT,2021-05-06T00:36:30,2021-05-06T07:37:30,421,28.054869358669837,-672.9667604708957,2349.097103797365,0.8690980315231304,2.0107956272324814
IDT,2021-05-07T00:35,2021-05-07T07:40:30,426,30.817840375586854,470.4376811594193,2906.875239095418,0.8760562311776404,2.050033666524543
IDT,2021-05-08T02:43:30,2021-05-08T10:03:30,440,30.42909090909091,305.3947760582978,2389.43574828119,0.8655149651367189,2.067644243660196
IDT,2021-05-08T23:27:30,2021-05-09T08:32:30,545,29.38788990825688,-177.4719806763278,828.4314567435067,0.8524021968221065,2.0312448142729007
IDT,2021-05-09T23:36,2021-05-10T07:39:30,484,29.33719008264463,-153.02876975751497,660.1944718461018,0.840872827384414,1.9997980071878383
IDT,2021-05-11T00:03:30,2021-05-11T07:29,445,29.343595505617976,-111.07572815533968,729.9596795173129,0.829542739978887,1.9759117906383155
IDT,2021-05-11T23:47:30,2021-05-12T07:29,461,29.822993492407807,78.19863045823331,1420.8409670402762,0.8140489533301628,1.969030929551232
IDT,2021-05-13T00:43:30,2021-05-13T09:11,507,30.64970414201183,474.64202898550684,3275.076677868841,0.8148227578193621,1.9999696871612136
IDT,2021-05-14T02:11:30,2021-05-14T08:42:30,391,30.16598465473146,168.51035781544306,888.0609736344777,0.8030141858606427,1.98789408032386
IDT,2021-05-15T02:41,2021-05-15T10:34,473,31.887949260042284,1018.339384262672,3865.482244271552,0.8663285177495406,2.029927835687181
IDT,2021-05-16T01:48:30,2021-05-16T09:20:30,451,32.59711751662971,1290.8096454597562,4913.279824416619,0.9869788871806316,2.085313974504023
IDT,2021-05-17T00:01,2021-05-17T07:45,464,29.217672413793107,-202.16146522208146,726.6353836654453,0.9826848118373361,2.084765500514608
IDT,2021-05-18T00:03:30,2021-05-18T07:44:30,461,29.60238611713666,2.1165048543680314,1263.2170923921512,0.9683677482242535,2.1021031685285627
IDT,2021-05-18T23:12:30,2021-05-19T07:34,501,30.140119760479042,241.56387186016582,2325.09685466683,0.9657933419666221,2.113031551017752
IDT,2021-05-19T23:55,2021-05-20T07:29:30,454,29.129735682819383,-239.81217999098772,1103.5823164581088,0.9675256673184133,2.0871477135607845
IDT,2021-05-21T00:34,2021-05-21T07:23,409,29.344498777506114,-128.2041445293271,869.0166813557735,0.9634609430202106,2.067502225395821
IDT,2021-05-22T00:01,2021-05-22T08:55:30,527,29.613662239089184,-26.314251207730194,1682.0355594243156,0.9576307675725768,2.0645431977404267
IDT,2021-05-23T00:33:30,2021-05-23T09:14:30,521,30.950287907869484,659.1734725929746,2825.8341400582576,0.9764751338318759,2.0796481310885846
IDT,2021-05-24T05:51,2021-05-24T11:40:30,338,30.824260355029587,385.04305899505744,1978.694666509633,0.9900199974373338,2.090486182549639
IDT,2021-05-24T23:53:30,2021-05-25T07:38:30,465,31.13483870967742,625.4684197948463,2855.149041205761,1.010264319927155,2.109677061509001
IDT,2021-05-25T23:51:30,2021-05-26T07:06:30,435,28.984597701149426,-319.17262160059545,1257.7533847802551,1.026610122963582,2.1057452331233586
IDT,2021-05-26T23:50:30,2021-05-27T07:31:30,461,29.41518438177874,-88.89914611005588,1529.3570025576046,1.026121548772727,2.0804080527974897
IDT,2021-05-28T00:22:30,2021-05-28T07:28:30,426,29.325821596244133,-120.21829987610545,971.3418770541903,1.0291833613741381,2.0856277105538426
IDT,2021-05-29T01:22,2021-05-29T07:24:30,363,29.806611570247934,72.08722334500999,375.079745921772,1.0274300669846688,2.048886726971882
IDT,2021-05-30T00:17:30,2021-05-30T08:40:30,503,30.189662027833002,292.5638384091999,1544.8324444229947,1.017018797218778,2.0201392230019355
IDT,2021-05-30T23:56:30,2021-05-31T06:24:30,382,30.42696335078534,273.8277024166109,1565.4192162585678,1.0169345045873344,2.0116580978869503
IDT,2021-05-31T23:51:30,2021-06-01T07:40,467,29.91370449678801,46.18721786988499,689.5402978470083,0.9899411579180781,1.9956917334427724
