timestamp,bucket_values
2021-06-01T07:40:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.011, 0.087, 0.078, 0.089, 0.112, 0.149, 0.151, 0.109, 0.073, 0.06, 0.04, 0.02, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-02T08:17:00,"[0.0, 0.0, 0.0, 0.0, 0.005, 0.012, 0.058, 0.149, 0.171, 0.13, 0.096, 0.095, 0.087, 0.067, 0.046, 0.032, 0.024, 0.015, 0.008, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-03T08:51:30,"[0.0, 0.0, 0.0, 0.0, 0.004, 0.008, 0.054, 0.274, 0.329, 0.174, 0.087, 0.041, 0.019, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-04T07:21:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.009, 0.018, 0.065, 0.107, 0.184, 0.167, 0.17, 0.122, 0.07, 0.039, 0.025, 0.015, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-05T09:06:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.009, 0.06, 0.135, 0.192, 0.243, 0.197, 0.092, 0.036, 0.016, 0.008, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0]"
2021-06-06T09:17:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.008, 0.011, 0.019, 0.033, 0.088, 0.17, 0.195, 0.166, 0.134, 0.09, 0.046, 0.022, 0.007, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-07T08:09:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.007, 0.007, 0.037, 0.121, 0.072, 0.077, 0.166, 0.184, 0.14, 0.099, 0.053, 0.023, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-08T07:30:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.005, 0.007, 0.012, 0.012, 0.02, 0.053, 0.113, 0.172, 0.201, 0.175, 0.117, 0.064, 0.028, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-10T07:45:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.006, 0.007, 0.012, 0.017, 0.053, 0.105, 0.13, 0.138, 0.144, 0.135, 0.097, 0.07, 0.041, 0.028, 0.011, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-11T07:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.008, 0.045, 0.09, 0.059, 0.076, 0.131, 0.158, 0.136, 0.11, 0.081, 0.056, 0.03, 0.012, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
