recorded_time,temperature,sensor_type
2021-05-28T00:00,-2.508024178112919,UNKNOWN
2021-05-28T00:01,-2.7080241781129217,UNKNOWN
2021-05-28T00:02,-2.8080241781129196,UNKNOWN
2021-05-28T00:03,-2.908024178112921,UNKNOWN
2021-05-28T00:04,-3.008024178112919,UNKNOWN
2021-05-28T00:05,-3.008024178112919,UNKNOWN
2021-05-28T00:06,-3.2080241781129217,UNKNOWN
2021-05-28T00:07,-3.2080241781129217,UNKNOWN
2021-05-28T00:08,-3.3080241781129196,UNKNOWN
2021-05-28T00:09,-3.2080241781129217,UNKNOWN
2021-05-28T00:10,-3.1080241781129203,UNKNOWN
2021-05-28T00:11,-3.008024178112919,UNKNOWN
2021-05-28T00:12,-2.908024178112921,UNKNOWN
2021-05-28T00:13,-2.7080241781129217,UNKNOWN
2021-05-28T00:14,-2.6080241781129203,UNKNOWN
2021-05-28T00:15,-2.508024178112919,UNKNOWN
2021-05-28T00:16,-2.2080241781129217,UNKNOWN
2021-05-28T00:17,-2.1080241781129203,UNKNOWN
2021-05-28T00:18,-1.908024178112921,UNKNOWN
2021-05-28T00:19,-1.8080241781129196,UNKNOWN
2021-05-28T00:20,-1.8080241781129196,UNKNOWN
2021-05-28T00:21,-1.8080241781129196,UNKNOWN
2021-05-28T00:22,-1.6080241781129203,UNKNOWN
2021-05-28T00:23,-1.508024178112919,UNKNOWN
2021-05-28T00:24,-1.508024178112919,UNKNOWN
2021-05-28T00:25,-1.508024178112919,UNKNOWN
2021-05-28T00:26,-1.6080241781129203,UNKNOWN
2021-05-28T00:27,-1.6080241781129203,UNKNOWN
2021-05-28T00:28,-1.6080241781129203,UNKNOWN
2021-05-28T00:29,-1.6080241781129203,UNKNOWN
2021-05-28T00:30,-1.7080241781129217,UNKNOWN
2021-05-28T00:31,-1.7080241781129217,UNKNOWN
2021-05-28T00:32,-1.7080241781129217,UNKNOWN
2021-05-28T00:33,-1.7080241781129217,UNKNOWN
2021-05-28T00:34,-1.7080241781129217,UNKNOWN
2021-05-28T00:35,-1.7080241781129217,UNKNOWN
2021-05-28T00:36,-1.6080241781129203,UNKNOWN
2021-05-28T00:37,-1.6080241781129203,UNKNOWN
2021-05-28T00:38,-1.7080241781129217,UNKNOWN
2021-05-28T00:39,-1.6080241781129203,UNKNOWN
2021-05-28T00:40,-1.6080241781129203,UNKNOWN
2021-05-28T00:41,-1.6080241781129203,UNKNOWN
2021-05-28T00:42,-1.6080241781129203,UNKNOWN
2021-05-28T00:43,-1.508024178112919,UNKNOWN
2021-05-28T00:44,-1.508024178112919,UNKNOWN
2021-05-28T00:45,-1.508024178112919,UNKNOWN
2021-05-28T00:46,-1.508024178112919,UNKNOWN
2021-05-28T00:47,-1.508024178112919,UNKNOWN
2021-05-28T00:48,-1.508024178112919,UNKNOWN
2021-05-28T00:49,-1.508024178112919,UNKNOWN
2021-05-28T00:50,-1.508024178112919,UNKNOWN
2021-05-28T00:51,-1.508024178112919,UNKNOWN
2021-05-28T00:52,-1.508024178112919,UNKNOWN
2021-05-28T00:53,-1.508024178112919,UNKNOWN
2021-05-28T00:54,-1.3080241781129196,UNKNOWN
2021-05-28T00:55,-1.3080241781129196,UNKNOWN
2021-05-28T00:56,-1.2080241781129217,UNKNOWN
2021-05-28T00:57,-1.2080241781129217,UNKNOWN
2021-05-28T00:58,-1.2080241781129217,UNKNOWN
2021-05-28T00:59,-1.2080241781129217,UNKNOWN
2021-05-28T01:00,-1.2080241781129217,UNKNOWN
2021-05-28T01:01,-1.2080241781129217,UNKNOWN
2021-05-28T01:02,-1.2080241781129217,UNKNOWN
2021-05-28T01:03,-1.1080241781129203,UNKNOWN
2021-05-28T01:04,-1.3080241781129196,UNKNOWN
2021-05-28T01:05,-1.408024178112921,UNKNOWN
2021-05-28T01:06,-1.408024178112921,UNKNOWN
2021-05-28T01:07,-1.408024178112921,UNKNOWN
2021-05-28T01:08,-1.408024178112921,UNKNOWN
2021-05-28T01:09,-1.3080241781129196,UNKNOWN
2021-05-28T01:10,-1.3080241781129196,UNKNOWN
2021-05-28T01:11,-1.3080241781129196,UNKNOWN
2021-05-28T01:12,-1.3080241781129196,UNKNOWN
2021-05-28T01:13,-1.3080241781129196,UNKNOWN
2021-05-28T01:14,-1.3080241781129196,UNKNOWN
2021-05-28T01:15,-1.3080241781129196,UNKNOWN
2021-05-28T01:16,-1.2080241781129217,UNKNOWN
2021-05-28T01:17,-1.3080241781129196,UNKNOWN
2021-05-28T01:18,-1.2080241781129217,UNKNOWN
2021-05-28T01:19,-1.2080241781129217,UNKNOWN
2021-05-28T01:20,-1.2080241781129217,UNKNOWN
