timestamp,bucket_values
2021-05-01T09:27:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.005, 0.005, 0.009, 0.012, 0.025, 0.061, 0.124, 0.177, 0.206, 0.192, 0.114, 0.042, 0.015, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-02T08:23:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.003, 0.005, 0.012, 0.017, 0.039, 0.071, 0.107, 0.145, 0.166, 0.171, 0.122, 0.076, 0.036, 0.016, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-03T06:45:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.013, 0.024, 0.042, 0.1, 0.131, 0.13, 0.127, 0.122, 0.11, 0.084, 0.057, 0.03, 0.016, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-04T07:54:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.006, 0.009, 0.011, 0.031, 0.065, 0.109, 0.164, 0.192, 0.182, 0.118, 0.06, 0.029, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-05T07:26:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.007, 0.011, 0.023, 0.033, 0.069, 0.107, 0.126, 0.162, 0.166, 0.139, 0.086, 0.041, 0.016, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-06T07:37:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.009, 0.023, 0.103, 0.131, 0.141, 0.152, 0.174, 0.141, 0.075, 0.03, 0.013, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-07T07:40:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.007, 0.014, 0.015, 0.019, 0.032, 0.056, 0.083, 0.119, 0.158, 0.169, 0.147, 0.092, 0.048, 0.025, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-08T10:03:30,"[0.0, 0.0, 0.0, 0.001, 0.008, 0.011, 0.128, 0.441, 0.172, 0.116, 0.08, 0.031, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-09T08:32:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.009, 0.033, 0.043, 0.036, 0.062, 0.107, 0.15, 0.142, 0.109, 0.087, 0.077, 0.06, 0.04, 0.025, 0.01, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-10T07:39:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.008, 0.021, 0.062, 0.049, 0.05, 0.071, 0.083, 0.101, 0.118, 0.128, 0.117, 0.085, 0.055, 0.027, 0.013, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
