timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-06-01T07:40:00,18.2,0.6,4.444,12.2,0.9,6.34,,,,15.8,0.6,2.681
2021-06-02T08:17:00,16.6,1.5,3.189,15.0,2.1,3.268,,,,-1.0,0.0,1.827
2021-06-03T08:51:30,17.0,0.9,7.821,17.6,2.1,6.191,,,,-1.0,0.0,1.923
2021-06-04T07:21:00,19.6,1.0,6.875,16.0,2.8,4.107,,,,21.2,0.8,3.335
2021-06-05T09:06:30,0.0,0.0,1.503,-1.0,0.0,1.517,,,,-1.0,0.0,1.731
2021-06-06T09:17:00,15.8,1.3,6.981,19.6,0.8,5.967,,,,-1.0,0.0,2.254
2021-06-07T08:09:00,20.2,0.7,4.44,16.6,1.9,5.192,,,,-1.0,0.0,1.64
2021-06-08T07:30:00,19.6,1.4,6.61,17.6,1.4,7.338,,,,18.8,1.2,4.391
2021-06-10T07:45:00,16.2,1.2,5.125,16.2,1.2,5.125,,,,18.4,0.5,3.163
2021-06-11T07:34:30,19.2,1.6,6.774,17.2,1.5,7.52,,,,20.8,0.9,3.9
2021-06-12T07:32:30,17.6,1.3,5.365,17.6,1.3,5.365,,,,-1.0,0.0,2.262
2021-06-13T09:24:30,19.2,0.7,5.197,18.0,1.6,5.986,,,,19.6,0.6,3.458
2021-06-15T08:36:30,17.4,1.4,7.348,17.4,1.4,7.348,,,,-1.0,0.0,0.0
2021-06-16T08:58:30,18.4,1.3,5.245,18.4,1.3,5.245,,,,-1.0,0.0,1.628
2021-06-17T08:50:30,18.8,0.9,8.365,18.0,2.3,7.658,,,,-1.0,0.0,1.624
2021-06-18T07:39:00,18.4,0.8,5.199,17.2,2.0,8.346,,,,-1.0,0.0,1.655
2021-06-19T08:55:30,18.8,0.8,7.279,19.2,0.5,4.628,,,,-1.0,0.0,1.309
2021-06-20T10:29:00,19.0,2.1,5.303,18.2,2.0,5.364,,,,-1.0,0.0,2.091
2021-06-21T07:30:00,19.8,1.7,6.755,19.8,1.7,6.755,,,,-1.0,0.0,1.946
2021-06-22T07:33:00,19.0,2.2,7.715,19.0,2.2,7.715,,,,-1.0,0.0,2.033
2021-06-23T07:38:00,17.6,2.0,4.03,17.6,2.0,4.03,,,,18.4,1.4,4.837
2021-06-24T08:22:00,18.8,1.2,8.143,18.0,1.4,11.675,,,,-1.0,0.0,1.457
2021-06-25T08:42:30,17.8,1.2,7.918,17.0,1.0,8.136,,,,17.6,1.5,4.761
2021-06-27T08:10:00,17.6,1.1,4.876,16.4,2.0,5.795,,,,18.2,1.6,3.009
2021-06-28T08:19:30,18.0,1.0,6.512,17.6,1.8,7.794,,,,-1.0,0.0,2.236
2021-06-29T07:45:30,18.0,1.9,4.319,18.0,1.9,4.319,,,,-1.0,0.0,1.492
2021-06-30T08:48:00,18.2,0.7,3.709,18.2,0.7,3.709,,,,-1.0,0.0,1.739
