timestamp,Infrared to Red Signal Ratio
04/02/21 00:56:01,0
04/02/21 00:57:01,0
04/02/21 00:58:02,0
04/02/21 00:59:02,48
04/02/21 01:00:02,0
04/02/21 01:01:02,0
04/02/21 01:02:02,3
04/02/21 01:03:02,-31
04/02/21 01:04:02,15
04/02/21 01:05:03,0
04/02/21 01:06:03,0
04/02/21 01:07:02,-4
04/02/21 01:08:02,12
04/02/21 01:09:03,15
04/02/21 01:11:00,-1
04/02/21 01:12:00,13
04/02/21 01:13:00,-5
04/02/21 01:14:00,29
04/02/21 01:15:00,39
04/02/21 01:16:01,2
04/02/21 01:17:01,43
04/02/21 01:18:01,-4
04/02/21 01:19:01,-28
04/02/21 01:20:01,-46
04/02/21 01:21:01,0
04/02/21 01:22:02,30
04/02/21 01:23:02,-6
04/02/21 01:24:02,-36
04/02/21 01:25:02,-14
04/02/21 01:26:02,0
04/02/21 01:27:02,-46
04/02/21 01:28:03,0
04/02/21 01:29:03,-30
04/02/21 01:30:03,0
04/02/21 01:31:03,1
04/02/21 01:32:03,-4
04/02/21 01:33:03,42
04/02/21 01:34:04,0
04/02/21 01:35:04,-2
04/02/21 01:36:04,25
04/02/21 01:37:04,1
04/02/21 01:38:05,-4
04/02/21 01:39:05,0
04/02/21 01:40:05,-6
04/02/21 01:41:05,8
04/02/21 01:42:05,-78
04/02/21 01:43:06,12
04/02/21 01:44:06,-10
04/02/21 01:45:06,1
04/02/21 01:46:06,-1
04/02/21 01:47:06,-3
04/02/21 01:48:06,-3
04/02/21 01:49:06,-8
04/02/21 01:50:07,41
04/02/21 01:51:07,8
04/02/21 01:52:07,25
04/02/21 01:53:10,33
04/02/21 01:54:10,-11
04/02/21 01:55:10,-5
04/02/21 01:56:10,-27
04/02/21 01:57:11,-11
04/02/21 01:58:11,-5
04/02/21 01:59:11,10
04/02/21 02:00:11,0
04/02/21 02:01:11,-2
04/02/21 02:02:11,0
04/02/21 02:03:11,0
04/02/21 02:04:12,1
04/02/21 02:05:12,-34
04/02/21 02:06:12,-11
04/02/21 02:07:12,-3
04/02/21 02:08:12,-26
04/02/21 02:09:12,0
04/02/21 02:10:12,-17
04/02/21 02:11:12,13
04/02/21 02:12:12,8
04/02/21 02:13:12,-18
04/02/21 02:14:12,-17
04/02/21 02:15:13,8
04/02/21 02:16:13,0
04/02/21 02:17:13,0
04/02/21 02:18:13,0
04/02/21 02:19:13,0
04/02/21 02:20:13,-1
04/02/21 02:21:13,35
04/02/21 02:22:14,0
04/02/21 02:23:14,-5
04/02/21 02:24:14,0
04/02/21 02:25:14,0
04/02/21 02:26:14,-1
04/02/21 02:27:15,0
04/02/21 02:28:15,-8
04/02/21 02:29:15,29
04/02/21 02:30:15,8
04/02/21 02:31:15,-13
04/02/21 02:32:15,-1
04/02/21 02:33:16,0
04/02/21 02:34:16,34
04/02/21 02:35:16,6
04/02/21 02:36:16,1
04/02/21 02:37:16,0
04/02/21 02:38:16,-3
04/02/21 02:39:16,-13
04/02/21 02:40:17,-7
04/02/21 02:41:17,14
04/02/21 02:42:17,4
04/02/21 02:43:17,-16
04/02/21 02:44:17,-3
04/02/21 02:45:17,0
04/02/21 02:46:18,1
04/02/21 02:47:18,25
04/02/21 02:48:18,5
04/02/21 02:49:18,22
04/02/21 02:50:18,-18
04/02/21 02:51:18,17
04/02/21 02:52:18,16
04/02/21 02:53:19,2
04/02/21 02:54:19,30
04/02/21 02:55:19,10
04/02/21 02:56:19,-14
04/02/21 02:57:19,-28
04/02/21 02:58:19,2
04/02/21 02:59:19,0
04/02/21 03:00:20,-2
04/02/21 03:01:20,-2
04/02/21 03:02:20,49
04/02/21 03:03:20,0
04/02/21 03:04:20,0
04/02/21 03:05:20,0
04/02/21 03:06:21,33
04/02/21 03:07:21,-44
04/02/21 03:08:21,0
04/02/21 03:09:21,-4
04/02/21 03:10:21,13
04/02/21 03:11:21,-1
04/02/21 03:12:21,0
04/02/21 03:13:22,-2
04/02/21 03:14:22,-13
04/02/21 03:15:22,0
04/02/21 03:16:22,0
04/02/21 03:17:22,-39
04/02/21 03:18:22,32
04/02/21 03:19:22,-5
04/02/21 03:20:23,19
04/02/21 03:21:23,11
04/02/21 03:22:23,-19
04/02/21 03:23:23,7
04/02/21 03:24:23,34
04/02/21 03:25:23,0
04/02/21 03:26:24,-24
04/02/21 03:27:24,5
04/02/21 03:28:24,0
04/02/21 03:29:24,23
04/02/21 03:30:24,1
04/02/21 03:31:24,16
04/02/21 03:32:24,-2
04/02/21 03:33:25,0
04/02/21 03:34:25,20
04/02/21 03:35:25,37
04/02/21 03:36:25,-1
04/02/21 03:37:25,-12
04/02/21 03:38:25,2
04/02/21 03:39:25,0
04/02/21 03:40:26,-7
04/02/21 03:41:26,9
04/02/21 03:42:26,-56
04/02/21 03:43:26,-4
04/02/21 03:44:26,-4
04/02/21 03:45:26,36
04/02/21 03:46:27,17
04/02/21 03:47:27,0
04/02/21 03:48:27,7
04/02/21 03:49:27,0
04/02/21 03:50:27,0
04/02/21 03:51:27,0
04/02/21 03:52:27,0
04/02/21 03:53:28,0
04/02/21 03:54:28,-17
04/02/21 03:55:28,0
04/02/21 03:56:28,0
04/02/21 03:57:28,0
04/02/21 03:58:28,0
04/02/21 03:59:28,0
04/02/21 04:00:29,0
04/02/21 04:01:29,0
04/02/21 04:02:29,0
04/02/21 04:03:29,-14
04/02/21 04:04:29,-3
04/02/21 04:05:29,0
04/02/21 04:06:30,0
04/02/21 04:07:30,0
04/02/21 04:08:30,-4
04/02/21 04:09:30,1
04/02/21 04:10:30,0
04/02/21 04:11:30,4
04/02/21 04:12:30,13
04/02/21 04:13:31,-4
04/02/21 04:14:31,-19
04/02/21 04:15:31,-2
04/02/21 04:16:31,0
04/02/21 04:17:31,-19
04/02/21 04:18:31,11
04/02/21 04:19:31,5
04/02/21 04:20:32,40
04/02/21 04:21:32,0
04/02/21 04:22:32,57
04/02/21 04:23:32,26
04/02/21 04:24:32,26
04/02/21 04:25:32,0
04/02/21 04:26:33,6
04/02/21 04:27:33,-5
04/02/21 04:28:33,9
04/02/21 04:29:33,-4
04/02/21 04:30:33,-3
04/02/21 04:31:33,0
04/02/21 04:32:33,9
04/02/21 04:33:34,6
04/02/21 04:34:34,22
04/02/21 04:35:34,9
04/02/21 04:36:34,39
04/02/21 04:37:34,0
04/02/21 04:38:34,23
04/02/21 04:39:34,-8
04/02/21 04:40:35,7
04/02/21 04:41:35,0
04/02/21 04:42:35,3
04/02/21 04:43:35,-34
04/02/21 04:44:35,-2
04/02/21 04:45:35,-8
04/02/21 04:46:36,-39
04/02/21 04:47:36,0
04/02/21 04:48:36,5
04/02/21 04:49:36,0
04/02/21 04:50:36,-2
04/02/21 04:51:36,-3
04/02/21 04:52:36,-4
04/02/21 04:53:37,0
04/02/21 04:54:37,0
04/02/21 04:55:37,-40
04/02/21 04:56:37,0
04/02/21 04:57:37,0
04/02/21 04:58:37,0
04/02/21 04:59:37,-13
04/02/21 05:00:38,33
04/02/21 05:01:38,36
04/02/21 05:02:38,1
04/02/21 05:03:38,-2
04/02/21 05:04:38,1
04/02/21 05:05:38,45
04/02/21 05:06:39,2
04/02/21 05:07:39,1
04/02/21 05:08:39,17
04/02/21 05:09:39,-29
04/02/21 05:10:39,-3
04/02/21 05:11:39,0
04/02/21 05:12:39,-2
04/02/21 05:13:40,0
04/02/21 05:14:40,0
04/02/21 05:15:40,0
04/02/21 05:16:40,25
04/02/21 05:17:40,0
04/02/21 05:18:40,-1
04/02/21 05:19:40,18
04/02/21 05:20:41,2
04/02/21 05:21:41,-31
04/02/21 05:22:41,8
04/02/21 05:23:41,-8
04/02/21 05:24:41,-4
04/02/21 05:25:41,-1
04/02/21 05:26:42,48
04/02/21 05:27:42,3
04/02/21 05:28:42,0
04/02/21 05:29:42,0
04/02/21 05:30:42,-18
04/02/21 05:31:42,2
04/02/21 05:32:42,26
04/02/21 05:33:43,39
04/02/21 05:34:43,22
04/02/21 05:35:43,-3
04/02/21 05:36:43,21
04/02/21 05:37:43,-3
04/02/21 05:38:43,2
04/02/21 05:39:43,33
04/02/21 05:40:44,-4
04/02/21 05:41:44,0
04/02/21 05:42:44,0
04/02/21 05:43:44,-3
04/02/21 05:44:44,-46
04/02/21 05:45:44,-16
04/02/21 05:46:45,-2
04/02/21 05:47:45,14
04/02/21 05:48:45,0
04/02/21 05:49:45,0
04/02/21 05:50:45,2
04/02/21 05:51:45,2
04/02/21 05:52:45,0
04/02/21 05:53:46,-18
04/02/21 05:54:46,2
04/02/21 05:55:46,-10
04/02/21 05:56:46,0
04/02/21 05:57:46,13
04/02/21 05:58:46,3
04/02/21 05:59:46,31
04/02/21 06:00:47,-54
04/02/21 06:01:47,-5
04/02/21 06:02:47,37
04/02/21 06:03:47,0
04/02/21 06:04:47,0
04/02/21 06:05:47,0
04/02/21 06:06:48,-1
04/02/21 06:07:48,72
04/02/21 06:08:48,21
04/02/21 06:09:48,0
04/02/21 06:10:48,-10
04/02/21 06:11:48,13
04/02/21 06:12:48,21
04/02/21 06:13:49,0
04/02/21 06:14:49,1
04/02/21 06:15:49,1
04/02/21 06:16:49,-30
04/02/21 06:17:49,4
04/02/21 06:18:49,0
04/02/21 06:19:49,-1
04/02/21 06:20:50,-4
04/02/21 06:21:50,56
04/02/21 06:22:50,-6
04/02/21 06:23:50,13
04/02/21 06:24:50,21
04/02/21 06:25:50,0
04/02/21 06:26:51,40
04/02/21 06:27:51,65
04/02/21 06:28:51,7
04/02/21 06:29:51,45
04/02/21 06:30:51,0
04/02/21 06:31:51,0
04/02/21 06:32:51,14
04/02/21 06:33:52,34
04/02/21 06:34:52,21
04/02/21 06:35:52,0
04/02/21 06:36:52,45
04/02/21 06:37:52,-1
04/02/21 06:38:52,-4
04/02/21 06:39:52,0
04/02/21 06:40:53,0
04/02/21 06:41:53,0
04/02/21 06:42:53,0
04/02/21 06:43:53,0
04/02/21 06:44:53,0
04/02/21 06:45:53,0
04/02/21 06:46:54,0
04/02/21 06:47:54,0
04/02/21 06:48:54,0
04/02/21 06:49:54,0
04/02/21 06:50:54,0
04/02/21 06:51:54,0
04/02/21 06:52:54,0
04/02/21 06:53:55,0
04/02/21 06:54:55,-32
04/02/21 06:55:55,0
04/02/21 06:56:55,0
04/02/21 06:57:55,0
04/02/21 06:58:55,0
04/02/21 06:59:55,0
04/02/21 07:00:56,0
04/02/21 07:01:56,3
04/02/21 07:02:56,-4
04/02/21 07:03:56,30
04/02/21 07:04:56,44
04/02/21 07:05:56,4
04/02/21 07:06:57,4
04/02/21 07:07:57,0
04/02/21 07:08:57,0
04/02/21 07:09:57,0
04/02/21 07:10:57,3
04/02/21 07:11:57,8
04/02/21 07:12:57,0
04/02/21 07:13:58,16
04/02/21 07:14:58,5
04/02/21 07:15:58,-36
04/02/21 07:16:58,-8
04/02/21 07:17:58,-11
04/02/21 07:18:58,-1
04/02/21 07:19:58,0
04/02/21 07:20:59,3
04/02/21 07:21:59,-2
04/02/21 07:22:59,-34
04/02/21 07:23:59,-5
04/02/21 07:24:59,2
04/02/21 07:25:59,-1
04/02/21 07:27:00,21
04/02/21 07:28:00,-17
04/02/21 07:29:00,1
04/02/21 07:30:00,1
04/02/21 07:31:00,54
04/02/21 07:32:00,13
04/02/21 07:33:00,-18
04/02/21 07:34:01,0
04/02/21 07:35:01,-31
04/02/21 07:36:01,-7
04/02/21 07:37:01,4
04/02/21 07:38:01,0
04/02/21 07:39:01,-3
04/02/21 07:40:01,6
04/02/21 07:41:02,0
04/02/21 07:42:02,-26
04/02/21 07:43:02,0
04/02/21 07:44:02,-4
04/02/21 07:45:02,2
04/02/21 07:46:02,0
04/02/21 07:47:03,0
04/02/21 07:48:03,9
04/02/21 07:49:03,24
04/02/21 07:50:03,0
04/02/21 07:51:03,4
04/02/21 07:52:03,0
04/02/21 07:53:03,34
04/02/21 07:54:04,-10
04/02/21 07:55:04,5
04/02/21 07:56:04,21
04/02/21 07:57:04,-3
04/02/21 07:58:04,0
04/02/21 07:59:04,-7
04/02/21 08:00:04,-4
04/02/21 08:01:05,-78
04/02/21 08:02:05,0
04/02/21 08:03:05,-8
04/02/21 08:04:05,-14
04/02/21 08:05:05,1
04/02/21 08:06:05,-2
04/02/21 08:07:06,5
04/02/21 08:08:06,-4
04/02/21 08:09:06,-34
04/02/21 08:10:06,49
04/02/21 08:11:06,1
04/02/21 08:12:06,8
04/02/21 08:13:06,10
04/02/21 08:14:07,5
04/02/21 08:15:07,-21
04/02/21 08:16:07,0
04/02/21 08:17:07,0
04/02/21 08:18:07,26
04/02/21 08:19:07,-5
04/02/21 08:20:07,12
04/02/21 08:21:08,-17
04/02/21 08:22:08,0
04/02/21 08:23:08,0
04/02/21 08:24:08,0
04/02/21 08:25:08,0
04/02/21 08:26:08,0
04/02/21 08:27:09,0
04/02/21 08:28:09,0
04/02/21 08:29:09,0
04/02/21 08:30:09,32
04/02/21 08:31:09,6
04/02/21 08:32:09,8
04/02/21 08:33:09,4
04/02/21 08:34:10,14
04/02/21 08:35:10,47
04/02/21 08:36:10,0
04/02/21 08:37:10,0
04/02/21 08:38:10,9
04/02/21 08:39:10,0
04/02/21 08:40:11,0
04/02/21 08:41:11,0
04/02/21 08:42:11,0
04/02/21 08:43:11,0
04/02/21 08:44:11,0
04/02/21 08:45:11,0
04/02/21 08:46:11,0
04/02/21 08:47:12,0
04/02/21 08:48:12,0
04/02/21 08:49:12,0
04/02/21 08:50:12,0
04/02/21 08:51:12,3
04/02/21 08:52:12,4
04/02/21 08:53:12,0
04/02/21 08:54:13,0
04/02/21 08:55:13,0
04/02/21 08:56:13,0
04/02/21 08:57:13,-20
04/02/21 08:58:13,0
04/02/21 08:59:13,0
04/02/21 09:00:14,0
04/02/21 09:01:14,0
04/02/21 09:02:14,-21
04/02/21 09:03:14,-23
04/02/21 09:04:14,0
04/02/21 09:05:14,0
04/02/21 09:06:14,-80
04/02/21 09:07:15,-22
04/02/21 09:08:15,-13
04/02/21 09:09:15,0
04/02/21 09:10:15,-14
04/02/21 09:11:15,-2
04/02/21 09:12:15,12
04/02/21 09:13:15,-10
04/02/21 09:14:16,0
04/02/21 09:15:16,52
04/02/21 09:16:16,-1
04/02/21 09:17:16,-8
04/02/21 09:18:16,0
04/02/21 09:19:16,0
04/02/21 09:20:17,0
04/02/21 09:21:19,-2
04/02/21 09:22:19,0
04/02/21 09:23:19,0
04/02/21 09:24:19,0
04/02/21 09:25:19,0
04/02/21 09:26:19,0
04/02/21 09:27:20,0
04/02/21 09:28:20,4
04/02/21 09:29:20,0
04/02/21 09:30:20,1
04/02/21 09:31:20,-11
04/02/21 09:32:20,16
04/02/21 09:33:20,0
04/02/21 09:34:21,-2
04/02/21 09:35:21,-1
04/02/21 09:36:21,0
04/02/21 09:37:21,0
04/02/21 09:38:21,0
04/02/21 09:39:21,0
04/02/21 09:40:22,0
04/02/21 09:41:22,0
04/02/21 09:42:22,0
04/02/21 09:43:22,0
