timestamp,Infrared to Red Signal Ratio
04/19/21 00:51:31,47
04/19/21 00:52:31,0
04/19/21 00:53:31,0
04/19/21 00:54:31,-13
04/19/21 00:55:32,-4
04/19/21 00:56:32,0
04/19/21 00:57:32,-4
04/19/21 00:58:32,0
04/19/21 00:59:32,-1
04/19/21 01:00:32,2
04/19/21 01:01:32,-13
04/19/21 01:02:33,14
04/19/21 01:03:33,17
04/19/21 01:04:33,-35
04/19/21 01:05:36,-4
04/19/21 01:06:36,4
04/19/21 01:07:37,-25
04/19/21 01:08:37,32
04/19/21 01:09:37,-13
04/19/21 01:10:37,9
04/19/21 01:11:37,-4
04/19/21 01:12:37,-2
04/19/21 01:13:37,2
04/19/21 01:14:38,-4
04/19/21 01:15:38,3
04/19/21 01:16:38,-3
04/19/21 01:17:38,8
04/19/21 01:18:38,38
04/19/21 01:19:38,0
04/19/21 01:20:41,-4
04/19/21 01:21:42,51
04/19/21 01:22:42,-7
04/19/21 01:23:42,-14
04/19/21 01:24:42,29
04/19/21 01:25:42,36
04/19/21 01:26:42,27
04/19/21 01:27:43,-2
04/19/21 01:28:43,-3
04/19/21 01:29:43,-5
04/19/21 01:30:43,-8
04/19/21 01:31:43,-56
04/19/21 01:32:43,5
04/19/21 01:33:43,-2
04/19/21 01:34:44,-24
04/19/21 01:35:47,-31
04/19/21 01:36:47,15
04/19/21 01:37:47,34
04/19/21 01:38:48,-83
04/19/21 01:39:48,-11
04/19/21 01:40:48,0
04/19/21 01:41:48,18
04/19/21 01:42:48,-72
04/19/21 01:43:48,-59
04/19/21 01:44:48,0
04/19/21 01:45:49,0
04/19/21 01:46:49,-28
04/19/21 01:47:49,2
04/19/21 01:48:49,-39
04/19/21 01:49:49,-38
04/19/21 01:50:51,-48
04/19/21 01:51:51,-16
04/19/21 01:52:51,6
04/19/21 01:53:51,0
04/19/21 01:54:51,-24
04/19/21 01:55:52,21
04/19/21 01:56:52,0
04/19/21 01:57:52,0
04/19/21 01:58:52,0
04/19/21 01:59:52,4
04/19/21 02:00:52,-2
04/19/21 02:01:52,-51
04/19/21 02:02:53,0
04/19/21 02:03:53,0
04/19/21 02:04:53,6
04/19/21 02:05:53,-2
04/19/21 02:06:55,-5
04/19/21 02:07:55,20
04/19/21 02:08:55,0
04/19/21 02:09:56,0
04/19/21 02:10:56,-21
04/19/21 02:11:56,52
04/19/21 02:12:56,4
04/19/21 02:13:56,56
04/19/21 02:14:56,26
04/19/21 02:15:56,-2
04/19/21 02:16:57,0
04/19/21 02:17:57,-36
04/19/21 02:18:57,-22
04/19/21 02:19:57,13
04/19/21 02:20:57,21
04/19/21 02:22:01,0
04/19/21 02:23:01,7
04/19/21 02:24:01,0
04/19/21 02:25:01,4
04/19/21 02:26:01,-16
04/19/21 02:27:01,-5
04/19/21 02:28:01,7
04/19/21 02:29:02,-2
04/19/21 02:30:02,-37
04/19/21 02:31:02,5
04/19/21 02:32:02,-10
04/19/21 02:33:02,3
04/19/21 02:34:02,-27
04/19/21 02:35:02,33
04/19/21 02:36:03,0
04/19/21 02:37:05,-8
04/19/21 02:38:05,0
04/19/21 02:39:05,20
04/19/21 02:40:05,-4
04/19/21 02:41:05,11
04/19/21 02:42:05,-19
04/19/21 02:43:06,0
04/19/21 02:44:06,5
04/19/21 02:45:06,8
04/19/21 02:46:06,54
04/19/21 02:47:06,0
04/19/21 02:48:06,0
04/19/21 02:49:06,0
04/19/21 02:50:07,0
04/19/21 02:51:07,0
04/19/21 02:52:10,0
04/19/21 02:53:10,0
04/19/21 02:54:10,0
04/19/21 02:55:10,0
04/19/21 02:56:10,0
04/19/21 02:57:10,0
04/19/21 02:58:10,0
04/19/21 02:59:11,0
04/19/21 03:00:11,0
04/19/21 03:01:11,0
04/19/21 03:02:11,0
04/19/21 03:03:11,0
04/19/21 03:04:11,0
04/19/21 03:05:12,0
04/19/21 03:06:12,0
04/19/21 03:07:12,-1
04/19/21 03:08:14,0
04/19/21 03:09:15,0
04/19/21 03:10:15,0
04/19/21 03:11:15,0
04/19/21 03:12:15,0
04/19/21 03:13:15,0
04/19/21 03:14:15,0
04/19/21 03:15:15,0
04/19/21 03:16:16,0
04/19/21 03:17:16,0
04/19/21 03:18:16,0
04/19/21 03:19:16,0
04/19/21 03:20:16,0
04/19/21 03:21:16,0
04/19/21 03:22:16,0
04/19/21 03:23:19,0
04/19/21 03:24:19,0
04/19/21 03:25:19,0
04/19/21 03:26:19,-5
04/19/21 03:27:19,0
04/19/21 03:28:20,0
04/19/21 03:29:20,0
04/19/21 03:30:20,0
04/19/21 03:31:20,0
04/19/21 03:32:20,0
04/19/21 03:33:20,3
04/19/21 03:34:20,-7
04/19/21 03:35:21,-4
04/19/21 03:36:21,0
04/19/21 03:37:21,0
04/19/21 03:38:25,-1
04/19/21 03:39:25,-17
04/19/21 03:40:25,-4
04/19/21 03:41:25,48
04/19/21 03:42:25,46
04/19/21 03:43:25,11
04/19/21 03:44:25,5
04/19/21 03:45:26,0
04/19/21 03:46:26,12
04/19/21 03:47:26,23
04/19/21 03:48:26,2
04/19/21 03:49:26,0
04/19/21 03:50:26,-30
04/19/21 03:51:27,0
04/19/21 03:52:27,7
04/19/21 03:53:28,0
04/19/21 03:54:28,0
04/19/21 03:55:29,4
04/19/21 03:56:29,0
04/19/21 03:57:29,8
04/19/21 03:58:29,-26
04/19/21 03:59:29,-26
04/19/21 04:00:29,-26
04/19/21 04:01:29,0
04/19/21 04:02:30,0
04/19/21 04:03:30,-4
04/19/21 04:04:30,4
04/19/21 04:05:30,-55
04/19/21 04:06:30,-1
04/19/21 04:07:30,10
04/19/21 04:08:31,48
04/19/21 04:09:32,24
04/19/21 04:10:33,1
04/19/21 04:11:33,0
04/19/21 04:12:33,-14
04/19/21 04:13:33,0
04/19/21 04:14:33,-6
04/19/21 04:15:33,-21
04/19/21 04:16:33,10
04/19/21 04:17:34,38
04/19/21 04:18:34,-17
04/19/21 04:19:34,0
04/19/21 04:20:34,0
04/19/21 04:21:34,0
04/19/21 04:22:34,21
04/19/21 04:23:35,0
04/19/21 04:24:35,45
04/19/21 04:25:36,0
04/19/21 04:26:36,9
04/19/21 04:27:36,0
04/19/21 04:28:36,0
04/19/21 04:29:36,0
04/19/21 04:30:36,-24
04/19/21 04:31:36,-3
04/19/21 04:32:37,13
04/19/21 04:33:37,-2
04/19/21 04:34:37,-4
04/19/21 04:35:37,0
04/19/21 04:36:37,0
04/19/21 04:37:37,8
04/19/21 04:38:38,0
04/19/21 04:39:40,38
04/19/21 04:40:40,4
04/19/21 04:41:40,-1
04/19/21 04:42:40,-2
04/19/21 04:43:40,0
04/19/21 04:44:41,9
04/19/21 04:45:41,8
04/19/21 04:46:41,0
04/19/21 04:47:41,0
04/19/21 04:48:41,1
04/19/21 04:49:41,6
04/19/21 04:50:41,-1
04/19/21 04:51:42,0
04/19/21 04:52:42,0
04/19/21 04:53:42,-2
04/19/21 04:54:44,1
04/19/21 04:55:44,-23
04/19/21 04:56:44,7
04/19/21 04:57:44,4
04/19/21 04:58:45,-30
04/19/21 04:59:45,8
04/19/21 05:00:45,52
04/19/21 05:01:45,0
04/19/21 05:02:45,-5
04/19/21 05:03:45,54
04/19/21 05:04:45,0
04/19/21 05:05:46,0
04/19/21 05:06:46,-15
04/19/21 05:07:46,-4
04/19/21 05:08:46,0
04/19/21 05:09:46,-2
04/19/21 05:10:49,0
04/19/21 05:11:49,-3
04/19/21 05:12:49,0
04/19/21 05:13:49,-2
04/19/21 05:14:49,-5
04/19/21 05:15:50,-9
04/19/21 05:16:50,0
04/19/21 05:17:50,2
04/19/21 05:18:50,-19
04/19/21 05:19:50,7
04/19/21 05:20:50,-7
04/19/21 05:21:50,-5
04/19/21 05:22:51,-5
04/19/21 05:23:51,5
04/19/21 05:24:51,-9
04/19/21 05:25:52,-4
04/19/21 05:26:52,0
04/19/21 05:27:52,52
04/19/21 05:28:53,32
04/19/21 05:29:53,0
04/19/21 05:30:53,-1
04/19/21 05:31:53,0
04/19/21 05:32:53,0
04/19/21 05:33:53,0
04/19/21 05:34:54,0
04/19/21 05:35:54,0
04/19/21 05:36:54,0
04/19/21 05:37:54,46
04/19/21 05:38:54,-4
04/19/21 05:39:54,-2
04/19/21 05:40:57,-39
04/19/21 05:41:57,-65
04/19/21 05:42:57,-24
04/19/21 05:43:57,0
04/19/21 05:44:57,0
04/19/21 05:45:58,0
04/19/21 05:46:58,-7
04/19/21 05:47:58,-1
04/19/21 05:48:58,-1
04/19/21 05:49:58,0
04/19/21 05:50:58,23
04/19/21 05:51:59,0
04/19/21 05:52:59,-16
04/19/21 05:53:59,78
04/19/21 05:54:59,-48
04/19/21 05:55:59,-22
04/19/21 05:57:01,6
04/19/21 05:58:01,0
04/19/21 05:59:01,-1
04/19/21 06:00:02,-6
04/19/21 06:01:02,0
04/19/21 06:02:02,28
04/19/21 06:03:02,1
04/19/21 06:04:02,0
04/19/21 06:05:02,4
04/19/21 06:06:02,36
04/19/21 06:07:03,0
04/19/21 06:08:03,0
04/19/21 06:09:03,0
04/19/21 06:10:03,0
04/19/21 06:11:03,-5
04/19/21 06:12:06,-17
04/19/21 06:13:06,0
04/19/21 06:14:06,-4
04/19/21 06:15:07,0
04/19/21 06:16:07,-22
04/19/21 06:17:07,54
04/19/21 06:18:07,0
04/19/21 06:19:07,0
04/19/21 06:20:07,0
04/19/21 06:21:07,0
04/19/21 06:22:08,0
04/19/21 06:23:08,0
04/19/21 06:24:08,-7
04/19/21 06:25:08,-60
04/19/21 06:26:08,-1
04/19/21 06:27:10,-40
04/19/21 06:28:10,25
04/19/21 06:29:10,-3
04/19/21 06:30:10,7
04/19/21 06:31:11,13
04/19/21 06:32:11,-5
04/19/21 06:33:11,-7
04/19/21 06:34:11,3
04/19/21 06:35:11,0
04/19/21 06:36:11,2
04/19/21 06:37:11,-2
04/19/21 06:38:12,44
04/19/21 06:39:12,0
04/19/21 06:40:12,5
04/19/21 06:41:12,-8
04/19/21 06:42:13,-10
04/19/21 06:43:14,4
04/19/21 06:44:14,27
04/19/21 06:45:14,-14
04/19/21 06:46:14,0
04/19/21 06:47:14,63
04/19/21 06:48:14,30
04/19/21 06:49:15,1
04/19/21 06:50:15,-1
04/19/21 06:51:15,29
04/19/21 06:52:15,5
04/19/21 06:53:15,0
04/19/21 06:54:15,0
04/19/21 06:55:15,0
04/19/21 06:56:16,-12
04/19/21 06:57:16,0
04/19/21 06:58:18,7
04/19/21 06:59:18,-1
04/19/21 07:00:18,0
04/19/21 07:01:18,0
04/19/21 07:02:18,0
04/19/21 07:03:18,0
04/19/21 07:04:19,0
04/19/21 07:05:19,0
04/19/21 07:06:19,0
04/19/21 07:07:19,12
04/19/21 07:08:19,-1
04/19/21 07:09:19,41
04/19/21 07:10:19,0
04/19/21 07:11:20,50
04/19/21 07:12:20,0
04/19/21 07:13:20,-8
04/19/21 07:14:20,-1
04/19/21 07:15:20,30
04/19/21 07:16:20,10
04/19/21 07:17:21,70
04/19/21 07:18:21,79
04/19/21 07:19:21,14
04/19/21 07:20:21,0
04/19/21 07:21:21,-13
04/19/21 07:22:21,-4
04/19/21 07:23:21,-2
04/19/21 07:24:22,-14
04/19/21 07:25:22,-1
04/19/21 07:26:24,9
04/19/21 07:27:25,8
04/19/21 07:28:25,11
04/19/21 07:29:25,0
04/19/21 07:30:25,0
04/19/21 07:31:25,-42
04/19/21 07:32:25,0
04/19/21 07:33:27,-1
04/19/21 07:34:28,0
04/19/21 07:35:28,0
04/19/21 07:36:28,0
04/19/21 07:37:28,0
04/19/21 07:38:28,0
04/19/21 07:39:28,0
