timestamp,Infrared to Red Signal Ratio
03/13/21 00:00:10,-12
03/13/21 00:01:10,-1
03/13/21 00:02:10,7
03/13/21 00:03:10,-1
03/13/21 00:04:10,0
03/13/21 00:05:11,0
03/13/21 00:06:11,5
03/13/21 00:07:11,-1
03/13/21 00:08:11,-41
03/13/21 00:09:11,-1
03/13/21 00:10:11,2
03/13/21 00:11:11,-2
03/13/21 00:12:12,-21
03/13/21 00:13:12,-4
03/13/21 00:14:12,-21
03/13/21 00:15:12,0
03/13/21 00:16:12,0
03/13/21 00:17:12,-15
03/13/21 00:18:13,-6
03/13/21 00:19:13,-16
03/13/21 00:20:13,-4
03/13/21 00:21:13,-33
03/13/21 00:22:13,-10
03/13/21 00:23:13,-1
03/13/21 00:24:13,-3
03/13/21 00:25:14,0
03/13/21 00:26:14,-5
03/13/21 00:27:14,-24
03/13/21 00:28:14,-5
03/13/21 00:29:14,4
03/13/21 00:30:14,-1
03/13/21 00:31:14,-5
03/13/21 00:32:15,9
03/13/21 00:33:15,-6
03/13/21 00:34:15,1
03/13/21 00:35:15,-29
03/13/21 00:36:15,1
03/13/21 00:37:15,-2
03/13/21 00:38:16,0
03/13/21 00:39:16,-3
03/13/21 00:40:16,1
03/13/21 00:41:16,0
03/13/21 00:42:16,-8
03/13/21 00:43:16,-17
03/13/21 00:44:16,-2
03/13/21 00:45:17,0
03/13/21 00:46:17,0
03/13/21 00:47:17,-23
03/13/21 00:48:17,-6
03/13/21 00:49:17,0
03/13/21 00:50:17,0
03/13/21 00:51:17,2
03/13/21 00:52:18,1
03/13/21 00:53:18,-1
03/13/21 00:54:18,-1
03/13/21 00:55:18,0
03/13/21 00:56:18,-3
03/13/21 00:57:18,-3
03/13/21 00:58:19,0
03/13/21 00:59:19,-2
03/13/21 01:00:19,-3
03/13/21 01:01:19,3
03/13/21 01:02:19,-1
03/13/21 01:03:19,6
03/13/21 01:04:19,35
03/13/21 01:05:20,-6
03/13/21 01:06:20,-1
03/13/21 01:07:20,-2
03/13/21 01:08:20,-3
03/13/21 01:09:20,-27
03/13/21 01:10:20,0
03/13/21 01:11:20,-2
03/13/21 01:12:21,-1
03/13/21 01:13:21,-1
03/13/21 01:14:21,0
03/13/21 01:15:21,3
03/13/21 01:16:21,1
03/13/21 01:17:21,6
03/13/21 01:18:22,12
03/13/21 01:19:22,0
03/13/21 01:20:22,-22
03/13/21 01:21:22,-1
